,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,2.9553835333047885e+30,3.09741146955911e+30,3.2707073835412564e+30,3.4777561243991036e+30,3.7102351715264883e+30,3.9633140031169237e+30,4.2245393425505517e+30,4.480595979344244e+30,4.7203373327338606e+30,4.9363221740927645e+30,5.124472021708751e+30,5.280375521136162e+30,5.402023954965068e+30,5.49163533183253e+30,5.558037036366567e+30,5.604322002359689e+30,5.632964568321417e+30,5.652983901993846e+30,5.669834179591363e+30,5.688449478185725e+30,5.710900442465523e+30,5.738600479808168e+30,5.774911031988515e+30,5.82216407746779e+30
1,SACR_SUNN_out,1.9193398166465274e+19,2.066347451661416e+19,2.249495574190119e+19,2.459897145537211e+19,2.6883955351568945e+19,2.9229857497601065e+19,3.1528218818178507e+19,3.3674618964961546e+19,3.5585061978151522e+19,3.719824525486644e+19,3.849107610590145e+19,3.945900873179205e+19,4.012547036804975e+19,4.0536337638413754e+19,4.074496555522193e+19,4.0805766615124845e+19,4.0784392699881366e+19,4.073493650548827e+19,4.070002457205551e+19,4.072099513256761e+19,4.08217287497389e+19,4.101502615248287e+19,4.13047766527459e+19,4.168376124200694e+19
2,LOND_NEWY_in,2.5691874894658036e+19,2.7354573463144854e+19,2.9876971984563106e+19,3.298509271707199e+19,3.6482141764439867e+19,4.018658407527635e+19,4.391262851162316e+19,4.753130539154619e+19,5.093559902970061e+19,5.404853397834145e+19,5.6841150766903435e+19,5.927771883548562e+19,6.1372996896282075e+19,6.317372822975949e+19,6.4718144474684285e+19,6.60331027124311e+19,6.717459998146915e+19,6.819865460483714e+19,6.91517786131073e+19,7.0068854921319195e+19,7.099409801348643e+19,7.1959643848550244e+19,7.297273192890844e+19,7.404978556016447e+19
3,LOND_NEWY_out,1.7397330904856242e+19,1.8086091467377304e+19,1.9387361193281925e+19,2.1018133965839364e+19,2.2837945864359703e+19,2.4740497048301974e+19,2.6632826265842102e+19,2.8455354010289762e+19,3.0169782840722375e+19,3.175567115852874e+19,3.3194775687624454e+19,3.448269074646711e+19,3.563572316282595e+19,3.667987712222223e+19,3.761918078472066e+19,3.847602755157026e+19,3.926708328590078e+19,4.001574856936804e+19,4.07361319437636e+19,4.143845090284903e+19,4.213314328942021e+19,4.282710683916216e+19,4.351714734602057e+19,4.420498339442577e+19
4,JGI_SACR_in,2.8080976868659032e+19,2.8486694981815714e+19,2.8743162698816918e+19,2.9056513039487152e+19,2.935563808046503e+19,2.9692489382103216e+19,3.0030586765191766e+19,3.0342958504135987e+19,3.0647490847669756e+19,3.098132714166692e+19,3.1367675026944102e+19,3.1828982950226825e+19,3.223142347478014e+19,3.2665288653690393e+19,3.3161248871865913e+19,3.3655605602996834e+19,3.4157370793347035e+19,3.4654251519463027e+19,3.515302276504656e+19,3.5698128711852974e+19,3.619524757687925e+19,3.662731266647556e+19,3.7008404386750095e+19,3.729570566578334e+19
5,JGI_SACR_out,1021729754236986.4,1074507620285028.5,1082188492884490.4,1086280428780856.8,1092986551358828.5,1107209945117364.0,1123327217237243.5,1144325311836687.2,1159889415249453.8,1174677661023206.2,1187427194155230.0,1199297613154065.2,1209197084718548.2,1218458553185745.5,1226954081858355.5,1232189372449073.2,1235578034838678.8,1238136148677127.2,1240055201034392.8,1239703055876897.5,1240023665892793.8,1240006384072324.0,1239603460818162.0,1239824033588755.8
6,HOUS_PANTEX_in,1551467619321242.5,1613597788213840.2,1694046517690650.5,1799010144543187.0,1925927178880807.8,2068180213076755.8,2218706405661445.0,2370606663240632.0,2518450399401056.5,2658020852352240.5,2784679139322988.0,2894789986158852.5,2985427343425949.5,3054266801849906.5,3100536612424970.5,3124726769357275.5,3128887973715579.5,3114847286657701.0,3087793781972030.5,3052546399368793.5,3015482657898333.5,2981214511566343.0,2952194917930765.5,2931230079697351.0
7,HOUS_PANTEX_out,1293941280174787.5,1322138820244063.5,1356416095033215.2,1416699273464201.2,1500490500573435.0,1600303569281856.5,1710751771931126.8,1823449179743340.5,1933981009090451.8,2038821847584824.0,2135048442892117.8,2219412511590686.2,2289745100045621.5,2344078904913585.0,2381899006540519.0,2403445745996223.5,2409975390024586.5,2403827470393722.5,2387213206878453.5,2362373016611161.0,2332372895040076.0,2301105052230222.5,2271423036640783.5,2245621255922674.5
8,BOIS_PNWG_in,88456330887430.2,83555569861516.73,82366797627414.3,83582376358892.77,86702899340493.33,91401197059831.1,97282826331561.81,104073766197040.25,111255738080036.06,118646492068096.22,125701116978910.48,132033256307569.45,137391213625616.48,141405032647630.25,144112346582399.4,145545474500350.78,145767127161256.7,144934038101016.1,143510410688952.7,141729634945284.97,140098751292287.95,138729960041356.27,137865120633478.31,137560565943053.08
9,BOIS_PNWG_out,1063239658154517.8,1046552752554517.8,1034768816736180.6,1039955269988070.2,1063911355201279.2,1102248706515858.2,1148739445890371.8,1200859784962248.8,1255743941347191.0,1310301963891657.5,1363699480473865.2,1413661749221827.5,1458382388662011.0,1495482957166912.2,1523472768590831.5,1543156233665891.2,1554734782300676.5,1558919411598917.5,1557720542664658.8,1552259050251733.8,1545811140869626.0,1538829271515021.2,1530246530184741.5,1522952861692335.0
10,DENV_NREL_in,2460445461095248.5,2442201014533557.5,2464950154488138.0,2507173141709866.0,2570623709710784.0,2639140612313213.0,2717764381563212.0,2792506082236509.0,2865129668390337.5,2942025064598169.0,3019439099558920.5,3096940399392558.5,3175028758823280.0,3248771132483875.5,3312888270880175.5,3366817583306219.5,3407105640045616.0,3433924907537728.0,3446213658806682.0,3449929770953034.5,3448345605568593.5,3442740376027866.0,3437585533780293.0,3441335574066654.5
11,DENV_NREL_out,489543058776.1226,479499995424.2347,477302856515.4284,479300257325.2588,485456340419.2092,495920465017.28094,509524952153.69995,526013406101.5868,543672594786.3227,561193308556.6083,577122016105.3856,590964782775.1047,602543779101.7638,610331366100.0895,615081028514.6772,617760253470.5284,617724982664.5472,615236210344.9348,611344686086.5304,606784155387.9019,603177294037.8157,600890152678.8184,599550432250.1837,599446916504.2251
12,CHIC_WASH_in,9649297975011.982,9982764388964.305,10400424082848.562,10875425781578.102,11397182506632.09,11947191597358.506,12500165452852.816,13026497623375.592,13508684274439.627,13927442799551.559,14272022025403.799,14534962362972.057,14725057488171.61,14850039022645.062,14917560030239.69,14944726628911.822,14945243681206.02,14936929097762.56,14929951305024.072,14932306163600.717,14957996451445.63,15010673492898.404,15099995717122.11,15225111214725.021
13,CHIC_WASH_out,1.5164172192757359e+19,1.5602343093191217e+19,1.6236324719320486e+19,1.6968127903434062e+19,1.7766047241360048e+19,1.8587514718420586e+19,1.9400927965714588e+19,2.016321957838291e+19,2.085062000810377e+19,2.1439470318158696e+19,2.1921995866886996e+19,2.2292773623588434e+19,2.255498302244386e+19,2.2714174347125154e+19,2.2787381301147673e+19,2.279938205257203e+19,2.2763581479823827e+19,2.2695974432682e+19,2.2617851866133488e+19,2.25435270798211e+19,2.2496389559378022e+19,2.248581262508528e+19,2.25140493296581e+19,2.259013871349679e+19
14,LLNL_SUNN_in,1.6488741806350733e+18,1.6738810444296527e+18,1.7863478465934787e+18,1.9977906543778445e+18,2.3053023173399782e+18,2.69464530596763e+18,3.143857128839945e+18,3.625430693479533e+18,4.111678435540635e+18,4.5786951107187476e+18,4.997262012160927e+18,5.348246220625182e+18,5.615786337073492e+18,5.791833824296537e+18,5.876122296364888e+18,5.87332235497664e+18,5.796521257768626e+18,5.661697423199148e+18,5.492100977547438e+18,5.312881201036744e+18,5.144254800258796e+18,5.004451460942105e+18,4.902293371946156e+18,4.846976092331299e+18
15,LLNL_SUNN_out,1.1823074694093868e+18,1.204283934020907e+18,1.204848780430851e+18,1.2125984533386532e+18,1.231101897310492e+18,1.2607058595712133e+18,1.2953716138207316e+18,1.3297784318832468e+18,1.3608173311120868e+18,1.3865450668903675e+18,1.4085997120292682e+18,1.4279252667345024e+18,1.4428791051086116e+18,1.4528358014157504e+18,1.4576586890963528e+18,1.4591538582148283e+18,1.4588390175866289e+18,1.453897661790165e+18,1.4473389608644477e+18,1.4402698560452165e+18,1.434414508431365e+18,1.4293496420800745e+18,1.425048507498232e+18,1.4220362922093494e+18
16,LSVN_SUNN_in,6.938954864220163e+16,6.631083603439693e+16,6.6541585719138424e+16,6.788372075706813e+16,6.9917212650372e+16,7.239073906622066e+16,7.5169218705994e+16,7.799552982742933e+16,8.066555133490408e+16,8.309240485886648e+16,8.517878677034173e+16,8.681773844143003e+16,8.801974034032011e+16,8.876366448765309e+16,8.912687895153843e+16,8.91422581005051e+16,8.888458610011158e+16,8.845857413070126e+16,8.79781018165587e+16,8.749352059835848e+16,8.709614970418366e+16,8.68795818832128e+16,8.6850163864362e+16,8.710003249623264e+16
17,LSVN_SUNN_out,1792828855486273.2,1781746288587527.5,1796794336791130.8,1817585732277663.5,1839301488562318.5,1863283981957535.2,1885198935560338.8,1909184294570711.8,1932089713294632.0,1957273094698325.2,1981974144497819.2,2007301159085088.8,2032804420075666.8,2057594163312445.0,2081357473235308.2,2106636370709150.2,2133482469198386.0,2160577775145539.8,2185412513720003.2,2211809901516083.8,2239940338873289.2,2265514068265520.0,2290773669719327.5,2313772048515607.0
18,CHIC_KANS_in,472063978064234.06,493382984931409.1,524230527390445.9,561354219262149.25,603250860004495.2,647577345720448.5,691788966318060.5,733448830378344.9,770959339284863.9,803384630801136.2,830014773163124.0,850828497845218.4,866182249860426.6,876593603849013.0,882793391889966.8,885549263879579.0,885491775739088.1,883643821182648.2,880711268171590.4,877848577311350.1,875458523331840.1,874116620911573.4,874375358868191.4,876224110153610.8
19,CHIC_KANS_out,2.3611322034382717e+19,2.5842380314134753e+19,2.868824208263831e+19,3.1980972147468526e+19,3.55281140342879e+19,3.9105429418027024e+19,4.253828684627848e+19,4.567742477470851e+19,4.842095261172929e+19,5.0701203141279646e+19,5.249806796472002e+19,5.381212761903331e+19,5.4682813190247514e+19,5.518452450301458e+19,5.539318652721509e+19,5.539191725258866e+19,5.526349615441779e+19,5.508798590351033e+19,5.4924152567734624e+19,5.483651477785269e+19,5.486099068474383e+19,5.5022502995700466e+19,5.532836915252703e+19,5.576771752294129e+19
20,CHIC_STAR_in,2.526662824826556e+19,2.7205203295819706e+19,2.914104258947579e+19,3.130531689081066e+19,3.3682866100968817e+19,3.6134108363370148e+19,3.855844768996607e+19,4.0860188877154116e+19,4.294771072921364e+19,4.474783553833452e+19,4.622425113378909e+19,4.735942063465012e+19,4.816479574553124e+19,4.86628153533818e+19,4.889299700912732e+19,4.891463579911165e+19,4.878423608183759e+19,4.856073213858055e+19,4.8288377300099736e+19,4.7995638063169405e+19,4.7723265019885175e+19,4.75231852649399e+19,4.739494773842285e+19,4.737300852696327e+19
21,CHIC_STAR_out,7.893640314318961e+19,8.129907262880625e+19,8.391859722109483e+19,8.725145951836425e+19,9.115422466078432e+19,9.551633818392537e+19,1.0004768794331274e+20,1.045242848265113e+20,1.0867471381911919e+20,1.1237813636838257e+20,1.1538922422170082e+20,1.1770246642279829e+20,1.1927836524726449e+20,1.2032023893005432e+20,1.2093823094261105e+20,1.2115650674325732e+20,1.2109603128992232e+20,1.2087927722395735e+20,1.2054380149473362e+20,1.2019677311605496e+20,1.2000115829229407e+20,1.199615027440498e+20,1.2015270874797593e+20,1.2050306135135086e+20
22,DENV_LSVN_in,9.84080789295913e+19,9.87384427571128e+19,9.89256888780888e+19,9.941818073556843e+19,9.99684470644523e+19,1.007228218790717e+20,1.015347111431642e+20,1.0236075429535801e+20,1.0293414032773544e+20,1.0349649301445363e+20,1.0388388332509177e+20,1.0402020838745976e+20,1.0420962625659794e+20,1.0456362265513571e+20,1.0477330974402894e+20,1.050757509170464e+20,1.0535631060909295e+20,1.0578106416611647e+20,1.061097760258513e+20,1.0648201099102126e+20,1.0695936625282361e+20,1.0735691563304565e+20,1.0783008325965844e+20,1.0826477023882017e+20
23,DENV_LSVN_out,758462824568264.6,752808861350604.8,765417180966073.6,788290412221508.0,820433953143913.0,859214261781310.5,902086581764738.0,944903103880678.2,985811355285522.2,1021475424801043.2,1050407806474315.5,1072730962463162.8,1089225952696134.8,1099394077588591.0,1103820928006189.0,1103362703029594.0,1099726142650882.1,1093766438466821.0,1086103979203583.2,1078160100969654.6,1069574734833020.6,1062204940909701.1,1057429018830744.6,1055466736992073.9
24,PPPL_WASH_in,624065040486737.6,637730669717647.8,648024128368012.0,661030986891323.6,676005766477858.9,693279813382035.6,712678457315667.2,733245738595059.0,754405508712887.5,775766266799905.5,797291790729752.1,817900002642721.2,836757286755015.8,852676878510933.9,865134694117307.2,873198366218642.8,877677410638084.1,877515801058466.6,872583371327274.5,865191547753372.0,856732701279503.8,847386179254087.8,837127501428507.5,827325087738754.6
25,PPPL_WASH_out,1.6275498325508868e+16,1.584460672226089e+16,1.565595976718685e+16,1.5578138403562758e+16,1.5562954319028886e+16,1.562241213284376e+16,1.5724850112009266e+16,1.5878916475523608e+16,1.6068904815423274e+16,1.6294813070339508e+16,1.6537221224941106e+16,1.677159295381897e+16,1.7018731854115976e+16,1.7258970978456248e+16,1.7509949163491762e+16,1.7724465748607984e+16,1.7930440169785022e+16,1.8100986542836164e+16,1.8245699543765376e+16,1.8348206109367156e+16,1.8434591938061892e+16,1.8524623260972504e+16,1.8607726482718724e+16,1.865271923362437e+16
26,HOUS_NASH_in,2385046385309002.0,2422025158715935.5,2504042357410460.5,2612576160254970.5,2744920275504133.5,2898818910040360.5,3069997842626805.5,3252792616318090.5,3442760239866976.5,3632104145512277.5,3814032524052019.5,3981721394269488.0,4133828842836144.5,4265483010937764.5,4373524436175926.5,4458234002964932.0,4521362384278317.0,4568910675384807.0,4605858601618329.0,4637676879569002.0,4669958896469800.0,4711974219971934.0,4766549077445537.0,4837868305109820.0
27,HOUS_NASH_out,5.356720323441488e+18,5.611617164436092e+18,5.957833802165771e+18,6.409419608712985e+18,6.954824514175386e+18,7.565868701079591e+18,8.210851065317303e+18,8.847065080895816e+18,9.441305749420044e+18,9.960238089249425e+18,1.038233783213554e+19,1.0705347069979707e+19,1.0933583474129156e+19,1.1070559594944023e+19,1.1122379703816921e+19,1.1105494570364072e+19,1.1029881359413535e+19,1.091447410128168e+19,1.0771455997565958e+19,1.0623381874301913e+19,1.0488718094065547e+19,1.038667550585768e+19,1.032232357966329e+19,1.0303575622796034e+19
28,ALBQ_SNLA_in,1.0658547415094802e+18,1.0958074869683442e+18,1.1449305755668454e+18,1.2154863105858685e+18,1.309052461232304e+18,1.4214184030151058e+18,1.5488976035821804e+18,1.6872084911745454e+18,1.830009031117273e+18,1.9726778252235082e+18,2.1092290968036163e+18,2.2328457510749898e+18,2.339507648827183e+18,2.424724663696199e+18,2.488233547982911e+18,2.5305009567625047e+18,2.554823782670367e+18,2.563538458140654e+18,2.561895738183822e+18,2.5566134360451876e+18,2.554434299983656e+18,2.562063473420589e+18,2.583958711683069e+18,2.621529177508065e+18
29,ALBQ_SNLA_out,1.829369663358667e+17,1.7926393447166614e+17,1.9045136114185117e+17,2.2044403436372493e+17,2.6869268381691018e+17,3.3265294586302835e+17,4.0792651902245965e+17,4.8892782561511e+17,5.700576678002812e+17,6.463315814138737e+17,7.135452548241147e+17,7.687609170526623e+17,8.098815481884703e+17,8.356824126120545e+17,8.459388307171648e+17,8.419339639667368e+17,8.261866673416544e+17,8.020352341865914e+17,7.730441438744584e+17,7.42424852411065e+17,7.129349431796054e+17,6.868177251963779e+17,6.65859215042349e+17,6.509510131168279e+17
30,EASH_WASH_in,2.8735275688636444e+16,3.0983458262352444e+16,3.4029416553065324e+16,3.7642861414006456e+16,4.158049920060348e+16,4.564218320335478e+16,4.9612818230247016e+16,5.3342173098549496e+16,5.672888605158991e+16,5.972036491014167e+16,6.228791239442672e+16,6.442675028556748e+16,6.613763525117789e+16,6.7445865199669656e+16,6.841656337810105e+16,6.909893941024225e+16,6.956531097899571e+16,6.988310825394667e+16,7.009302245815721e+16,7.027341506145394e+16,7.045797947556046e+16,7.068636061189719e+16,7.097523947460635e+16,7.131969341143431e+16
31,EASH_WASH_out,1.0769096339758688e+19,1.0812808821475592e+19,1.1175875130292842e+19,1.1741438436806906e+19,1.2461340992592243e+19,1.3293274293115914e+19,1.4182293688439886e+19,1.5071200047075946e+19,1.5911549889273494e+19,1.6666033615783543e+19,1.7305273281232568e+19,1.780871498340092e+19,1.81668051995409e+19,1.8383445609402853e+19,1.8470094704582853e+19,1.8448690144165994e+19,1.8339906807347775e+19,1.8166927127702536e+19,1.7962424741581783e+19,1.7750484226383151e+19,1.754822359203903e+19,1.7380761170101334e+19,1.726344098131069e+19,1.7205969492318108e+19
32,SLAC_SUNN_in,1.7360881214764957e+17,1.7096175227835034e+17,1.7355472661623264e+17,1.789583878772449e+17,1.849623844166389e+17,1.916924776666595e+17,1.981875379923639e+17,2.051859134731811e+17,2.1221892823610483e+17,2.1932044438940506e+17,2.2683070373583824e+17,2.347023052426358e+17,2.4144662598616182e+17,2.474696757573092e+17,2.5204813880760272e+17,2.553481540284046e+17,2.563559616546054e+17,2.5549591502992272e+17,2.532269790127518e+17,2.4913361970326954e+17,2.4379014785475434e+17,2.3805229585481962e+17,2.3230500654197072e+17,2.275953211159442e+17
33,SLAC_SUNN_out,4.952928826001795e+17,5.006917226460915e+17,5.0525586411152e+17,5.110810486508755e+17,5.147301658900585e+17,5.184588513287894e+17,5.216024866333346e+17,5.248817402106344e+17,5.2692115791125024e+17,5.297805158651904e+17,5.338276532282312e+17,5.3971400206997555e+17,5.453019917381015e+17,5.511369271703393e+17,5.581606596307027e+17,5.646202799580111e+17,5.7121938214197485e+17,5.78595015867203e+17,5.872328474843592e+17,5.956077717529746e+17,6.032909616907539e+17,6.111981367320237e+17,6.190729452033166e+17,6.26123053461138e+17
34,ELPA_SUNN_in,121277319573291.11,128490764256444.34,137962470346885.38,150873964630470.12,167076042451603.56,185822574670316.84,206162182612017.62,226462242781624.4,245412992085447.72,261848470379557.5,275032339329421.22,284829348834102.56,291188508756606.25,294418656203679.3,294803226964214.25,292965727478128.56,289314466336564.8,284265878131923.4,278442387746471.84,272649144306268.28,267314358942184.44,263189933601186.62,260540642786863.25,259704558267133.78
35,ELPA_SUNN_out,3.1401294287908495e+18,3.378137904359589e+18,3.643572193056898e+18,3.9417492879036436e+18,4.2740928704954276e+18,4.635374952819333e+18,5.017904690316466e+18,5.406403800292202e+18,5.790130841616111e+18,6.15031211310308e+18,6.473013847475333e+18,6.749110192359805e+18,6.968177354179473e+18,7.128217719667793e+18,7.231690384083365e+18,7.285613172965422e+18,7.300817190064065e+18,7.290982345667109e+18,7.268172690753758e+18,7.240616568435964e+18,7.222433813278033e+18,7.225592121169791e+18,7.259486013088913e+18,7.329654734806483e+18
36,ATLA_NASH_in,5.002446969242001e+18,5.366977652162335e+18,5.788256226085228e+18,6.2964813002345e+18,6.880997233477163e+18,7.524205576787499e+18,8.197981716163382e+18,8.870956171963595e+18,9.505207446043638e+18,1.0069324262371365e+19,1.0552916976072985e+19,1.0946674894901094e+19,1.1243106374602396e+19,1.1450147614211721e+19,1.1573926999245974e+19,1.162880589002199e+19,1.1625643090427544e+19,1.1584916375709645e+19,1.1519757800625912e+19,1.1452630955879768e+19,1.139071701758802e+19,1.1351136342315639e+19,1.1346836065212344e+19,1.1386490581270716e+19
37,ATLA_NASH_out,4.339044566535347e+18,4.2704489114054164e+18,4.306425640854503e+18,4.3733646778151276e+18,4.4686625263898593e+18,4.5885004562811694e+18,4.728512715169383e+18,4.890552877894361e+18,5.065695171054665e+18,5.25134697708413e+18,5.439613857672493e+18,5.62344139634812e+18,5.801717981830814e+18,5.964173637578342e+18,6.108911171664478e+18,6.235669028223756e+18,6.346810693218032e+18,6.44708263780982e+18,6.530032217383387e+18,6.607683387397753e+18,6.685198182990441e+18,6.761386465092674e+18,6.842879763428914e+18,6.931182533104613e+18
38,CHIC_ECHI_in,1.610045349884283e+19,1.7384194260125673e+19,1.917607935588429e+19,2.134349971043767e+19,2.373111358056798e+19,2.6206143782135472e+19,2.863909794952739e+19,3.092766756995459e+19,3.300103348007129e+19,3.4824726472708723e+19,3.6372872850382823e+19,3.7649667751713374e+19,3.865181467583375e+19,3.940273139460929e+19,3.9935691472112255e+19,4.029454583498383e+19,4.051461081831803e+19,4.064308903917852e+19,4.070756222861206e+19,4.075693767584854e+19,4.0825527113700835e+19,4.093247308303384e+19,4.1095536427563565e+19,4.13047421188436e+19
39,CHIC_ECHI_out,1.1540272418430366e+19,1.1624612688072774e+19,1.2032314195548903e+19,1.2625393693805957e+19,1.335902568370382e+19,1.4190173392975417e+19,1.5066448506455712e+19,1.5932915303526367e+19,1.6747515118862688e+19,1.7474738700347277e+19,1.808998151000549e+19,1.85753271583121e+19,1.892310080291138e+19,1.9137643935276552e+19,1.923404284649475e+19,1.92307938426129e+19,1.914538584078566e+19,1.90008553191583e+19,1.8828831105160307e+19,1.864893506266296e+19,1.8479868453306237e+19,1.8343205887544453e+19,1.825051451243055e+19,1.8211800983395127e+19
40,NERSC_SUNN_in,8.007930064861197e+19,8.191352651576646e+19,8.355908353218727e+19,8.439387280198712e+19,8.475666417658787e+19,8.471962147002764e+19,8.469568547534804e+19,8.438715380429885e+19,8.441371669291998e+19,8.461614939022192e+19,8.487990635030286e+19,8.502530992226315e+19,8.548936377766332e+19,8.55692337529357e+19,8.59557694903642e+19,8.634461816313042e+19,8.678232743407811e+19,8.715728929213198e+19,8.76242321737177e+19,8.772408458912344e+19,8.807819295744044e+19,8.85003916057538e+19,8.888682553891458e+19,8.924897237149904e+19
41,NERSC_SUNN_out,1.001236396341544e+16,1.0222423456629136e+16,1.0416701400060496e+16,1.0520037871478338e+16,1.0553264066478002e+16,1.0591200249762504e+16,1.062515708951718e+16,1.0620646810491952e+16,1.0585386426765484e+16,1.0582212429597888e+16,1.056879784433429e+16,1.0569212189817604e+16,1.0624919337568184e+16,1.0668136001763524e+16,1.071166075277879e+16,1.0714519688673102e+16,1.0764509859644348e+16,1.081351042081949e+16,1.0825118472786028e+16,1.0851276330800884e+16,1.0897520143819542e+16,1.094419494908059e+16,1.0987438848688178e+16,1.1004609598836388e+16
