sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SACR_SUNN_in,0.756659665,0.74496537,0.730696533,0.713648556,0.694506699,0.673668697,0.652159928,0.63107674,0.611336919,0.593553161,0.578061281,0.565224501,0.555208214,0.547829793,0.54236241,0.538551399,0.536193028,0.534544676,0.533157258,0.531624512,0.529775945,0.52749518,0.524505442,0.520614721
SACR_SUNN_out,0.743691867,0.724060506,0.699602954,0.671505984,0.640992369,0.609665254,0.578972997,0.550310027,0.524798021,0.503255614,0.485991185,0.473065438,0.464165527,0.458678816,0.455892805,0.455080869,0.455366296,0.456026732,0.456492945,0.456212905,0.454867711,0.452286423,0.448417102,0.443356152
LOND_NEWY_in,0.835389246,0.824736148,0.808574855,0.788660773,0.766254784,0.742520002,0.718646813,0.69546154,0.673649845,0.653704918,0.635812306,0.620200939,0.606776255,0.595238765,0.585343515,0.576918429,0.569604726,0.563043492,0.556936719,0.551060907,0.54513277,0.538946408,0.532455438,0.525554633
LOND_NEWY_out,0.801121978,0.793248395,0.778372898,0.759730678,0.738927453,0.717178392,0.695546183,0.674711912,0.655113376,0.636984254,0.620533095,0.605810262,0.592629343,0.580693071,0.569955398,0.560160333,0.551117359,0.542558974,0.534323893,0.526295317,0.518353923,0.510420862,0.502532646,0.494669631
JGI_SACR_in,-0.132679946,-0.149045074,-0.159390007,-0.17202937,-0.184094938,-0.19768224,-0.211319804,-0.223919693,-0.236203371,-0.24966906,-0.265252866,-0.283860275,-0.300093197,-0.317593671,-0.337598822,-0.357539295,-0.377778597,-0.397820878,-0.417939416,-0.439926919,-0.459978806,-0.47740667,-0.492778463,-0.504367105
JGI_SACR_out,0.217557635,0.177140256,0.171258231,0.16812462,0.16298906,0.152096761,0.139754127,0.123673751,0.111754734,0.100429871,0.090666257,0.08157587,0.073994838,0.06690239,0.0603965,0.056387305,0.053792262,0.051833254,0.050363641,0.050633314,0.05038779,0.050401025,0.050709584,0.050540669
HOUS_PANTEX_in,0.648971912,0.634914619,0.616712652,0.592964053,0.564248376,0.532062844,0.498005464,0.463637195,0.430186736,0.398608153,0.369951018,0.345037833,0.324530632,0.308955326,0.298486526,0.29301337,0.292071875,0.295248658,0.301369662,0.309344576,0.317730452,0.325483809,0.332049651,0.336793061
HOUS_PANTEX_out,0.652999922,0.645438104,0.636245866,0.620079547,0.597609004,0.570841837,0.541222614,0.511000216,0.481358567,0.453243087,0.427437716,0.404813553,0.385952253,0.371381395,0.361239066,0.355460813,0.353709739,0.355358445,0.359813942,0.366475409,0.374520631,0.382905821,0.390865736,0.397785076
BOIS_PNWG_in,0.517748784,0.544467029,0.550948045,0.544320884,0.527308241,0.501693796,0.469627998,0.432604768,0.393449689,0.353156359,0.314695557,0.280173642,0.250962828,0.229080063,0.214320176,0.206506969,0.20529855,0.209840432,0.217601844,0.227310378,0.236201722,0.243664175,0.248379155,0.250039544
BOIS_PNWG_out,0.515156634,0.522765958,0.5281395,0.525774448,0.514850336,0.497368285,0.476168241,0.452401069,0.427373579,0.402494809,0.378145236,0.355362156,0.334969288,0.318051217,0.305287703,0.29631193,0.291032046,0.289123831,0.289670522,0.292160994,0.295101277,0.29828505,0.302198829,0.305524783
DENV_NREL_in,0.322119721,0.32714627,0.320878627,0.309245722,0.291764379,0.272887205,0.251225477,0.230633301,0.21062469,0.189439147,0.168110713,0.146758237,0.12524402,0.10492717,0.08726218,0.072404051,0.06130424,0.053915231,0.050529543,0.049505712,0.049942167,0.051486471,0.052906688,0.05187351
DENV_NREL_out,0.409375802,0.421492563,0.424143369,0.421733543,0.414306349,0.401681585,0.385268036,0.365375036,0.344069568,0.322931167,0.30371349,0.287012461,0.273042627,0.263647054,0.257916678,0.254684246,0.254726799,0.257729455,0.262424503,0.267926695,0.272278303,0.275037695,0.276654041,0.276778931
CHIC_WASH_in,0.597420703,0.583508118,0.566082898,0.546265306,0.524497043,0.50155006,0.478479384,0.456520229,0.436402873,0.418931808,0.404555584,0.393585425,0.385654448,0.380440081,0.377623031,0.37648961,0.376468038,0.376814932,0.377106053,0.377007806,0.375935979,0.373738235,0.370011614,0.364791658
CHIC_WASH_out,0.624264489,0.613407558,0.59769886,0.579566354,0.559795632,0.539441438,0.51928681,0.500398867,0.483366565,0.468776124,0.45682018,0.447633106,0.441136122,0.437191704,0.435377794,0.435080441,0.435967502,0.437642659,0.439578368,0.441419976,0.442587942,0.442850016,0.442150371,0.44026504
LLNL_SUNN_in,0.835602433,0.833109176,0.821895907,0.800814443,0.770154633,0.731336001,0.686548271,0.638533982,0.590053663,0.543490738,0.501758396,0.466764247,0.440089716,0.422537268,0.414133462,0.414412624,0.422069917,0.435512247,0.452421508,0.470290242,0.487102786,0.501041587,0.511227047,0.516742341
LLNL_SUNN_out,0.251156818,0.23723749,0.23687973,0.231971287,0.220251681,0.201501291,0.179544893,0.157752498,0.138093257,0.12179797,0.107829124,0.095588814,0.086117437,0.079811121,0.076756428,0.075809426,0.076008838,0.079138566,0.083292679,0.087770068,0.091478695,0.094686651,0.097410879,0.099318739
LSVN_SUNN_in,0.237453868,0.271286922,0.268751133,0.25400194,0.231655183,0.204472732,0.173939043,0.142879717,0.113537912,0.086868366,0.063940382,0.045929366,0.032720145,0.024544901,0.02055341,0.020384403,0.023216051,0.027897646,0.033177725,0.038502959,0.042869807,0.045249747,0.045573032,0.042827138
LSVN_SUNN_out,-0.152660509,-0.145535212,-0.155210029,-0.168577407,-0.182539082,-0.197958107,-0.212047852,-0.22746872,-0.242195263,-0.258386373,-0.274267378,-0.290550834,-0.306947604,-0.322885633,-0.338163738,-0.354416258,-0.371676376,-0.389096717,-0.405063675,-0.422035304,-0.440121159,-0.456563235,-0.472803349,-0.487589659
