,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,1719122896509958.2,1759946439400674.0,1808509713421870.5,1864874291848945.0,1926197074944951.8,1990807374689204.8,2055368420150156.8,2116741831056457.2,2172633731841117.5,2221783556985865.5,2263729670634007.0,2297906769461320.5,2324225452697106.0,2343423848097593.0,2357548946759444.5,2367344926781834.5,2373386729616860.5,2377600450452903.0,2381141360690575.0,2385047059952009.5,2389749033364282.5,2395537618115851.5,2403104457152979.5,2412916094162370.5
1,SACR_SUNN_out,4381027067.533967,4545709462.406738,4742884748.958295,4959735018.665021,5184973997.193134,5406464417.491441,5614999449.526109,5802983626.115237,5965321615.650871,6099036420.195114,6204117673.440878,6281640608.2958975,6334466857.44347,6366815345.085308,6383178327.073585,6387939152.428179,6386265943.403968,6382392694.396692,6379657088.908111,6381300426.446604,6389188426.532661,6404297475.327241,6426879231.224584,6456296248.005271
2,LOND_NEWY_in,5068715310.08184,5230159984.46939,5465983167.241105,5743264987.537314,6040044847.883157,6339288925.051165,6626660434.308005,6894295133.771558,7136918034.396963,7351770805.618294,7539307048.191063,7699202480.483652,7834091963.736581,7948190248.714452,8044758820.168837,8126075480.3552685,8196011223.849632,8258247671.560665,8315754843.254297,8370714122.541708,8425799547.430881,8482903031.895994,8542407853.111934,8605218507.403776
3,LOND_NEWY_out,4171010777.3603563,4252774561.080954,4403108128.729287,4584553845.887227,4778906346.054472,4973982011.256371,5160700172.054379,5334356007.081807,5492702689.999011,5635217046.266163,5761490752.194649,5872196415.862391,5969566413.302221,6056391427.427906,6133447707.8329,6202904767.249798,6266345289.393234,6325800231.5413065,6382486344.972749,6437270454.381191,6491004798.135664,6544242266.233896,6596752788.002638,6648682831.540829
4,JGI_SACR_in,5299148692.824068,5337292851.419689,5361265027.847152,5390409357.320384,5418084355.237101,5449081517.292912,5480017040.593192,5508444290.735451,5536017598.208097,5566087238.057531,5600685228.339842,5641718084.965504,5677272538.35679,5715355514.199479,5758580456.316114,5801345154.616887,5844430750.154119,5886786179.186656,5928998462.223326,5974791101.942642,6016248629.908778,6052050286.181994,6083453327.407887,6107021014.028308
5,JGI_SACR_out,31964507.727118,32779683.04125329,32896633.458220165,32958768.61748413,33060347.11491742,33274764.388607834,33516074.01288587,33827877.731786355,34057149.253122374,34273570.8822878,34459065.48580837,34630876.58656745,34773511.2509299,34906425.671869434,35027904.331523396,35102555.0700953,35150789.96037897,35187158.860543534,35214417.516613744,35209417.14764528,35213969.75481171,35213724.37093702,35208002.795077175,35211135.07952783
6,HOUS_PANTEX_in,39388673.74412653,40169612.74662528,41158796.35862364,42414739.70853985,43885386.84893649,45477249.400956035,47103146.451818325,48688876.17557661,50184164.82717488,51555997.24912942,52770059.1180547,53803252.56114961,54639064.2619907,55265421.39394131,55682462.34161139,55899255.53491098,55936463.721937045,55810816.93236268,55567920.43951286,55249854.292738125,54913410.54695413,54600499.18788603,54334104.556261584,54140835.602134466
7,HOUS_PANTEX_out,35971395.30480834,36361226.880346924,36829554.64071233,37639065.78894063,38736165.279663846,40003794.43605139,41361235.13546382,42701863.890740655,43977050.9367153,45153314.91247153,46206584.41058068,47110641.17150908,47851281.07005727,48415688.62376724,48804702.709272996,49024950.23960987,49091500.18103527,49028843.24959873,48859115.90356966,48604248.956353195,48294646.64991427,47969834.8155403,47659448.555777304,47387986.40924379
8,BOIS_PNWG_in,9405122.587581206,9140873.58306178,9075615.550882172,9142339.763916716,9311439.165912718,9560397.32750847,9863205.682310484,10201655.07145974,10547783.562437942,10892497.053848406,11211650.947960809,11490572.496945897,11721399.815108113,11891384.807819072,12004680.194923954,12064222.913240239,12073405.781355014,12038855.34845469,11979583.0765913,11905025.617162064,11836331.834326373,11778368.30980235,11741597.873947069,11728621.655721232
9,BOIS_PNWG_out,32607355.890266813,32350467.578607235,32167822.691879235,32248337.47634241,32617654.04196444,33200131.121967852,33893058.96330946,34653423.85626922,35436477.55275898,36198093.373707645,36928301.88993078,37598693.45099411,38188773.070917204,38671474.72190467,39031689.28692213,39283027.29762424,39430125.31429081,39483153.51639123,39467968.56521322,39398718.89099611,39316804.81511215,39227914.44258822,39118365.63795504,39025028.65716225
