,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,BOIS_DENV_in,62414872.82984579,60940991.42287699,60671801.62492525,60831282.196696885,61097234.41373043,61298345.96569041,61425239.28755032,61525268.85155267,61659079.972423784,61856374.0723296,62120183.477709234,62451988.259062976,62845582.93029311,63291850.04224132,63780475.05413066,64306237.318286054,64872919.80507828,65458915.516908765,66063636.37601412,66684719.685596235,67313231.96034609,67960745.39354208,68629740.14552562,69325211.58350089
1,CHIC_WASH_in,1793665282.2762802,2026004943.7818716,2319237714.6812243,2487182219.003767,2468935687.8077693,2379660731.1026487,2314837829.053208,2307719282.0467334,2357623636.2492056,2447235876.5446734,2556877820.339847,2667874022.7118306,2765526695.212125,2843243429.340436,2899275933.1882873,2935405462.205651,2954171016.7989407,2958911606.290406,2952198439.119129,2935760522.939023,2911408117.9855213,2880726182.5729256,2845922529.488758,2808253024.784815
2,SACR_SUNN_in,2895972469.205651,2958266473.216245,2985314638.693585,2966276616.7512655,2954875005.9696293,2954709114.2085934,2962069602.1050034,2975430132.4204826,2992961181.9531493,3014507915.6694527,3041317765.236257,3073487565.802472,3109796862.631195,3149280909.8860507,3189985408.7041793,3232476193.118541,3276325153.6223664,3321496307.7271338,3367033566.3168926,3413161739.1903477,3459127521.6541495,3504687530.932549,3549214164.874868,3592487367.2268395
3,CHIC_STAR_in,6507356749.816362,6331630293.559741,6328307115.366686,6248008553.758681,6314628689.557386,6492270132.489699,6721376770.156563,6978330484.129488,7254349729.8505,7557417904.416716,7876303052.7992935,8195378887.204238,8509730169.531489,8808467322.477928,9084703720.218952,9333012011.629194,9551956369.683344,9743359471.467922,9909711181.354914,10053216093.45615,10176288611.78811,10281387676.488523,10369724483.706886,10443252532.927605
4,CHIC_WASH_out,2714319168.7204237,2873478105.457328,3000286867.088876,3026284632.952325,3005338850.549735,2970583960.9711595,2938761945.885815,2917750603.9470277,2912249482.2071805,2922726986.109476,2945484184.753384,2976226159.405533,3011320302.188346,3048181215.4761624,3084814498.208358,3120912902.185992,3156169038.5285463,3190560339.7445555,3224385112.477928,3257215823.7775164,3289075829.99176,3320319841.1277223,3350851590.8263683,3380619407.019423
5,JGI_SACR_in,17760602.291943744,19205506.826325066,19803923.85079718,19689119.653180934,19486207.33225686,19390511.852415778,19389489.230652977,19424711.232860155,19454548.021412246,19465029.108669456,19461574.80216563,19457646.674884878,19466486.944013778,19497084.54583838,19553404.59263061,19635407.662083227,19740654.07791607,19865753.4512239,20007359.448575284,20162684.402665924,20329650.51596787,20506818.998899005,20693229.034508187,20888222.995956097
6,AOFA_LOND_out,6508338970.765156,5853920124.648617,5975346918.54738,6384279299.611536,6883109628.206003,7391097649.418482,7945415678.959388,8563175852.960565,9237133411.507946,9934699394.85933,10619063184.51442,11255237640.101236,11833085881.230135,12349240159.43967,12806767002.847557,13212104595.75162,13570664838.466156,13887421461.849323,14165667093.878752,14409043424.535608,14620915598.327251,14803355501.677458,14959064355.005297,15090366940.6392
7,ELPA_HOUS_in,1785050357.2115772,1949330893.8189933,2205988991.158605,2347559437.024409,2387121952.9631963,2376075974.747775,2352537272.1003356,2338188707.8684344,2342886330.492331,2369072637.7248206,2415002717.2786756,2477623075.268081,2552301414.7948613,2636069249.3222303,2727192145.86608,2823830484.4122834,2925128148.3263507,3030010838.435827,3137858249.4952736,3249807507.067963,3366313947.483502,3487861165.255132,3615350236.0579576,3749237576.392272
8,HOUS_NASH_in,1662520689.4769864,1688020256.4493232,1836023384.4092996,1881355136.0337846,1848812319.827781,1787431092.8012948,1730579517.4369628,1691675530.6447322,1669327431.3321953,1661598518.9437315,1661661690.9590347,1666665013.358093,1675271758.2068274,1686219452.4869924,1698940806.0761623,1713699500.7035904,1730635567.1826956,1750761457.408711,1774673703.626486,1802032178.1361978,1832913450.85309,1867879913.7500882,1908078867.8689816,1953258355.3121836
9,LOND_NEWY_in,3388979676.302943,3069782419.697057,3181907553.5228367,3483215060.643496,3868531997.103767,4268019810.406886,4666033626.154973,5062395047.741789,5467287009.815951,5876691337.720601,6281429392.672926,6672348947.064921,7042679081.361567,7386289718.219718,7700572249.059035,7987406242.331549,8248519651.146145,8486950107.46398,8705165064.687052,8905207463.494585,9089021533.548735,9258093736.549324,9413992005.12731,9557304369.313303
10,ATLA_NASH_out,1636689710.6703944,1694508366.000147,1782003461.930253,1849539378.9255445,1868547081.9358447,1857280019.3960786,1838324394.1712773,1826177101.2142437,1832309455.8922896,1867060049.7639787,1939078629.4773395,2051171120.1767216,2203355925.2752724,2397489507.7491355,2629163557.8440995,2890033612.3175397,3173324378.808417,3475489203.4969835,3791368732.145821,4116636762.263979,4450096576.223036,4786178331.352855,5123907267.5881405,5462077995.75618
11,ALBQ_SNLA_out,301057618.48960567,298257250.776598,302813017.08018833,304740816.08207184,305091040.0688876,305209308.5665921,305351062.33351386,305933330.50055325,307156464.2906651,308981394.8783049,311293820.41756326,314000423.391548,317020460.2288641,320362438.7438728,324029684.3827192,327992560.12762797,332174630.0270983,336573617.5152678,341150490.5243319,345845587.8868982,350662089.59402,355571370.9244497,360593915.69914067,365797527.8529959
12,AOFA_LOND_in,5344230257.017657,4778123466.623308,4860951851.670983,5139770907.6957035,5528279309.788699,5930229411.519129,6319657301.238964,6713321319.190701,7135532146.027663,7589731493.826368,8066774297.44379,8543825654.963508,8995342322.553856,9408323534.462036,9775133412.753973,10096994685.255444,10376609404.466745,10619339210.582108,10830289025.819305,11013505203.885227,11171798300.989405,11308103566.271336,11422778674.862272,11517554244.124191
13,CHIC_KANS_in,4059898508.061801,3837223664.6456738,3893330217.060035,3918689113.462625,3886066832.4137726,3852728197.596822,3850430242.4773397,3879553158.531489,3924056055.2224836,3973361887.6238966,4019172664.3372574,4058224905.100059,4091603587.2778106,4119310397.1035905,4142537502.5044146,4161659564.8375516,4177340955.4084754,4189849710.047675,4199644477.7675104,4207628605.9923487,4214218434.9941144,4219683717.388464,4224003101.7321954,4228194489.2048264
14,AMST_BOST_in,2577809690.372354,2548346528.101607,2707573798.1863623,2795868168.7902465,2797490842.773766,2748058877.1940136,2681034934.6819477,2619505723.464761,2573830971.39884,2545300598.088658,2530370783.5506945,2526575562.593661,2530126332.7125545,2537545705.8803,2548390479.621324,2562455454.9173803,2578766707.179888,2596949629.0445137,2616410572.7408056,2637182619.2888937,2660299964.417793,2686239901.0958385,2715365603.7385697,2747618284.1764746
15,ALBQ_ELPA_in,632913101.6467923,679922048.1592113,734447637.7937021,763566435.14485,779001977.4132432,787301189.4450265,792039294.7964097,795434001.7546204,799428957.003355,805175163.7855799,813220158.2011185,823471538.9856974,835723643.3188345,849712790.9972337,865231295.6616246,882151577.0400825,900277397.2816362,919479099.431136,939586955.2380812,960706777.7242496,982793967.9714538,1005845767.7951148,1030106844.5779282,1055381499.3689817
16,EASH_WASH_out,3370370801.779635,3308578239.766686,3131705216.4282517,3139696422.7978806,3294783307.983284,3559614145.259329,3899677043.1757503,4289131896.50359,4715751161.154561,5169764380.166922,5649555169.1710415,6145436357.644261,6650774156.93914,7160862913.834962,7676251651.530429,8193550386.63355,8712637528.80777,9231327084.434608,9747810065.25509,10261262345.195057,10771374123.251678,11277509724.511242,11779695227.848381,12276726787.474043
17,BOIS_PNWG_out,41422150.671445556,49740183.77318776,57312419.99863803,62637930.11188111,65834504.95244614,66951775.607890524,66456288.696319014,65081245.43979165,63507550.244629785,62206197.40545379,61343439.58059211,60900512.18573632,60800380.10218128,60984858.10251089,61386198.79680165,61953137.49937963,62636170.9265721,63419011.236672156,64284832.10068628,65226171.90468865,66238748.30789052,67341103.43584813,68547225.51031548,69840179.67232724
18,CHIC_ECHI_in,4167132107.0244846,4051761078.737257,3975737505.3399644,4084826838.7431426,4316566733.706062,4624319236.794938,4982018045.658976,5374982164.574808,5799532213.390582,6245680294.220483,6705704465.322307,7169599358.200942,7629745121.114421,8084575894.596469,8536147897.161036,8982059170.640024,9423543481.56857,9860634112.922071,10291635824.997057,10716307768.4671,11134365795.871454,11545982582.17175,11950707535.41636,12348843923.742672
19,DENV_LSVN_in,30185591.507168923,30621500.26024721,30760749.525956444,30671762.50678046,30530043.106862858,30387654.23544438,30254336.504873455,30135619.235361975,30039164.868110653,29962941.098081224,29900615.23204238,29852134.656244855,29814452.923919957,29785487.749052383,29763931.79934079,29750909.88880518,29743002.90360212,29736917.85039435,29731859.74362566,29727630.744249556,29726756.511524428,29727699.244284876,29729223.023555037,29730087.206592113
20,BOIS_PNWG_in,35668272.91701001,38469087.64802237,43059683.17389641,47094883.40286639,49799193.980029434,51213952.654473215,51842558.05669806,52212542.76587994,52689139.75386109,53472080.286315486,54623550.990306064,56135231.38491466,57952328.728881694,60021260.851483226,62311160.48725721,64785963.306268394,67401352.13175397,70162830.8040671,73083977.00797528,76161361.13891113,79388477.66444379,82744010.62783402,86221931.5246439,89839167.46082991
21,AMST_BOST_out,2592588680.260683,2392684232.5326076,2401578722.500824,2436515613.5320187,2447109629.4354916,2444975475.5567393,2445466955.6956444,2459999595.3283696,2490051833.311889,2525238483.7804003,2562534317.01289,2598964179.675633,2632280309.5897,2662231318.708005,2689570950.687993,2713760265.228311,2734810870.651501,2752795569.952266,2768271716.780989,2781006103.0823426,2791192960.9422603,2799156067.5991173,2805653259.6344323,2811821144.643261
22,JGI_SACR_out,85924927.01507403,85447544.44320825,85001514.68558611,84301732.19494455,83829914.35162495,83646958.9374519,83692403.44414996,83938551.80451488,84363542.85880564,84888542.3094472,85516616.85080093,86183510.14856432,86898917.7361688,87639023.71747544,88404945.29722825,89192813.85337894,90000926.69532123,90836118.95739304,91681614.0620193,92524203.61482683,93371552.82380858,94227249.32005343,95099760.45055373,95978271.18549193
23,LLNL_SUNN_out,514881511.84314305,514583327.2909359,512683686.4524426,509416234.2718657,506970043.93272513,505239557.0915244,504124535.54885226,503610947.6907004,503548259.0538552,504067151.76709825,505271724.60276634,506788737.7287227,508659968.2877575,510812390.29894054,513217301.9987639,516112879.0483226,519319810.11306655,522710839.4805768,526286236.87433785,530081459.925309,534107388.49682164,538273929.8326663,542577509.6947027,546973092.485874
24,DENV_NREL_in,330344.65074749856,457094.8116470865,517183.5234068276,536353.5604437317,539967.0239395527,530025.177342731,507984.7362724543,478424.3115693349,447214.4160890524,418782.01928316656,395979.2632107121,380823.1720328134,372200.4148989406,370330.6256668629,374110.32288407884,383476.4564157886,396821.23299570335,413593.5875556062,433251.5063864479,455319.04334961745,479407.1038312979,505226.8868203208,532976.1431180988,562307.026545306
