,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,BOIS_DENV_in,7089959354269064.0,6904401557027950.0,6909409535071283.0,6945786085218115.0,6979211192388302.0,7011119133081489.0,7046560459691473.0,7089670749626281.0,7140344013112957.0,7195348784875586.0,7251802297460720.0,7308971265340814.0,7367842021249253.0,7429904663796509.0,7496278485896370.0,7567443684718997.0,7643368113652462.0,7723760587213033.0,7808291749138895.0,7896726803197887.0,7988974135554671.0,8085080708745752.0,8185198304492322.0,8289544487151583.0
1,CHIC_WASH_in,7.262978948099551e+18,9.099050060089086e+18,1.1380600890330995e+19,1.2767036798226463e+19,1.263060231166104e+19,1.1968736411061993e+19,1.159304125534842e+19,1.1713458995830043e+19,1.225720138365704e+19,1.3077740483879252e+19,1.4018990265382674e+19,1.4944218143765455e+19,1.575697099762378e+19,1.640703371422196e+19,1.6881977225024758e+19,1.7192700767706055e+19,1.7360462920554988e+19,1.7408467577766734e+19,1.7357844253985522e+19,1.7226543912878279e+19,1.7029688599241265e+19,1.6780367237272041e+19,1.6490386501862734e+19,1.617076645024975e+19
2,SACR_SUNN_in,2.484142588985453e+19,2.3921530947875127e+19,2.4225264471865692e+19,2.4912976058268725e+19,2.5804149468094517e+19,2.676756871024642e+19,2.7750375684390978e+19,2.875065642342696e+19,2.977796794648773e+19,3.083580293150066e+19,3.1919192570966462e+19,3.3018137057698693e+19,3.412166587649854e+19,3.522048625694708e+19,3.6307945515274846e+19,3.7379765751987405e+19,3.843324036983934e+19,3.9466375311557165e+19,4.047727128559592e+19,4.1463831769748414e+19,4.242373170463791e+19,4.3354542826500145e+19,4.425392185386694e+19,4.511977611805246e+19
3,CHIC_STAR_in,1.0890164249888816e+20,9.67258203668609e+19,9.565477202907727e+19,9.711468465379954e+19,1.0144087372488162e+20,1.072767094079453e+20,1.1368022575185178e+20,1.204330413429552e+20,1.2758136303559005e+20,1.3514210130647645e+20,1.43016423754849e+20,1.5101129520247285e+20,1.5889798637906762e+20,1.664675085856275e+20,1.7356471827473977e+20,1.8009832053626333e+20,1.8603328851885362e+20,1.9137483433710456e+20,1.9615145133191132e+20,2.00401360081882e+20,2.0416368000002687e+20,2.074739350115745e+20,2.103625959573468e+20,2.128554499196944e+20
4,CHIC_WASH_out,1.360976945344533e+19,1.4317300460205132e+19,1.5058557512336867e+19,1.5383951641860358e+19,1.5440641640578597e+19,1.539469065233366e+19,1.536274647485001e+19,1.5426854216519098e+19,1.5620979499718015e+19,1.5934113475202857e+19,1.6330460280000907e+19,1.6770889053978819e+19,1.7225321115531143e+19,1.7675540424551043e+19,1.8112721045764315e+19,1.8533691053225378e+19,1.8937988020736127e+19,1.9326104072426754e+19,1.9698701659492696e+19,2.0056375065799705e+19,2.039966492454682e+19,2.072910533753266e+19,2.1045278828964786e+19,2.134882421453216e+19
5,JGI_SACR_in,484602238964010.06,500132494875697.06,511688634491546.9,508899091784300.06,503830731701846.6,500552627247068.8,499064527356669.0,498380252724559.25,497673752205624.8,496664581532256.56,495492621694523.4,494442597683872.7,493759219736958.3,493589773822632.1,493999006811994.1,495002125494283.75,496591720080856.9,498754444482717.4,501480513752024.0,504768716415107.25,508628304968390.3,513078505528198.56,518146474053769.9,523864476072178.3
6,AOFA_LOND_out,7.793001276178314e+19,6.3518932099589456e+19,6.613090005533005e+19,7.512173254132684e+19,8.57640618247552e+19,9.677110399046505e+19,1.0890467243939113e+20,1.229309439574426e+20,1.3882792740678953e+20,1.5590931420664132e+20,1.732516034208124e+20,1.9006293761921732e+20,2.0584876651038104e+20,2.2039780382529035e+20,2.336846252518388e+20,2.4577027524059238e+20,2.567368658958537e+20,2.6665800567352456e+20,2.755926662193055e+20,2.8358961424480394e+20,2.906938450870989e+20,2.9695111047844364e+20,3.024098579185439e+20,3.0712105925131416e+20
7,ELPA_HOUS_in,5.426807927195101e+18,5.971294859833974e+18,7.151189845087877e+18,7.854736920411235e+18,8.039314934927203e+18,7.954672436513722e+18,7.810934638751869e+18,7.727793037988491e+18,7.754563574138754e+18,7.900918034053509e+18,8.159032638904463e+18,8.515317726894787e+18,8.955807607668376e+18,9.468581000230625e+18,1.004478743166605e+19,1.0678897607943969e+19,1.1368490413429555e+19,1.211377943919219e+19,1.2917027737055736e+19,1.3781942498460555e+19,1.471310865083259e+19,1.571549200740221e+19,1.6794048591781298e+19,1.7953429341655587e+19
8,HOUS_NASH_in,5.360510982416908e+18,5.117154576875332e+18,5.685339584208944e+18,5.868341649344793e+18,5.712223234521146e+18,5.451636059390344e+18,5.228771302826089e+18,5.09184865034443e+18,5.034508130673708e+18,5.031766189949274e+18,5.060272070024054e+18,5.104746373381413e+18,5.157401601995198e+18,5.215474273480559e+18,5.279088990223196e+18,5.349908441183801e+18,5.430395133315308e+18,5.523432331821094e+18,5.632132090061658e+18,5.759725710359463e+18,5.909492891620581e+18,6.084703539719648e+18,6.288558620316549e+18,6.524131994847506e+18
9,LOND_NEWY_in,2.2144564840382497e+19,1.8377717470009416e+19,1.966764573052528e+19,2.356215984329964e+19,2.8651221901387588e+19,3.3982763349975953e+19,3.937419780214161e+19,4.4992733278729036e+19,5.098048999095103e+19,5.733251246864763e+19,6.392137597258096e+19,7.056755097017433e+19,7.71019139438989e+19,8.34005601506615e+19,8.939272075243168e+19,9.505179666923299e+19,1.0038020193686133e+20,1.0539520718384756e+20,1.1011886356268019e+20,1.1457235144670971e+20,1.1877369824859393e+20,1.2273753928804308e+20,1.2647583666335831e+20,1.2999882792145912e+20
