sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
BOIS_DENV_in,0.366205177,0.3827928,0.38234512,0.3790933,0.37610532,0.373252964,0.370084747,0.366230976,0.361701126,0.356784069,0.351737503,0.346626981,0.34136433,0.335816346,0.329882971,0.32352128,0.316734145,0.309547597,0.301991078,0.294085577,0.285839284,0.277248001,0.268298159,0.25897031
CHIC_WASH_in,0.618090781,0.521544655,0.401573868,0.32867091,0.335845044,0.370647939,0.390403117,0.384071191,0.355479585,0.312333178,0.262839441,0.214188184,0.171451201,0.137268953,0.112294999,0.095956223,0.087134786,0.084610557,0.087272483,0.094176649,0.104527892,0.117637957,0.132886014,0.149692595
SACR_SUNN_in,0.609645319,0.624100419,0.619327593,0.608520989,0.594517215,0.57937818,0.56393449,0.548216218,0.532073189,0.515450519,0.498426286,0.481157626,0.463816929,0.44655022,0.429462038,0.412619605,0.396065453,0.379830915,0.363945838,0.348443165,0.333359432,0.318732796,0.30460008,0.290994168
CHIC_STAR_in,0.486059022,0.543520543,0.548575155,0.54168537,0.521268728,0.493727591,0.463507391,0.431638738,0.397903568,0.362222074,0.325060679,0.287330375,0.250110608,0.214387661,0.180893704,0.150059588,0.122050614,0.096842185,0.074299833,0.054243182,0.036487615,0.020865484,0.007232988,-0.004531571
CHIC_WASH_out,0.607299706,0.586884398,0.565495949,0.556106931,0.554471181,0.555797065,0.556718791,0.554869008,0.549267659,0.5402324,0.528796092,0.516087831,0.502975514,0.489984754,0.477370215,0.465223423,0.453557719,0.442358904,0.431607864,0.42128745,0.411382064,0.401876293,0.39275333,0.383994742
JGI_SACR_in,-0.099346679,-0.134577913,-0.160793648,-0.154465418,-0.142967566,-0.135531007,-0.132155171,-0.130602856,-0.129000121,-0.126710762,-0.124052107,-0.12167007,-0.12011979,-0.119735393,-0.12066376,-0.12293939,-0.126545472,-0.131451731,-0.137635968,-0.145095435,-0.153851123,-0.163946646,-0.17544361,-0.18841521
AOFA_LOND_out,0.318558899,0.444573284,0.42173353,0.34311526,0.250055856,0.153807303,0.0477081,-0.07494141,-0.213948932,-0.363313196,-0.514958862,-0.661961713,-0.799997269,-0.927217985,-1.043401544,-1.149081735,-1.244976569,-1.331729697,-1.409856785,-1.47978426,-1.541905576,-1.596620796,-1.644353559,-1.685549578
ELPA_HOUS_in,0.516159051,0.467613925,0.362417369,0.299690829,0.283234303,0.290780822,0.303596133,0.311008835,0.30862204,0.295573433,0.272560565,0.240795056,0.201522054,0.15580443,0.104431271,0.047895555,-0.013586856,-0.080035007,-0.151650664,-0.228764353,-0.311784855,-0.401154908,-0.49731638,-0.600683938
HOUS_NASH_in,0.319421856,0.350318733,0.278181152,0.254946948,0.274767965,0.307852486,0.336147714,0.35353161,0.360811644,0.361159765,0.357540618,0.351894097,0.345208913,0.337835924,0.329759309,0.32076797,0.310549264,0.298737128,0.284936451,0.268736983,0.249722327,0.227477333,0.2015956,0.171686867
LOND_NEWY_in,0.666945016,0.723598525,0.704197961,0.645624341,0.56908468,0.488898121,0.40781077,0.323307811,0.233251753,0.137717126,0.038620402,-0.061338288,-0.159615323,-0.254347169,-0.344469461,-0.429582149,-0.50972154,-0.585147384,-0.656191331,-0.723171936,-0.78636033,-0.845976629,-0.902200745,-0.955186649
ATLA_NASH_out,0.398243058,0.367143903,0.319933984,0.281745579,0.273921928,0.284081469,0.293860379,0.292734584,0.27575672,0.239996183,0.183827369,0.107063546,0.010564515,-0.104510593,-0.237285657,-0.387376863,-0.554815904,-0.739856073,-0.942784993,-1.163800962,-1.402954389,-1.660136133,-1.935089585,-2.227430931
ALBQ_SNLA_out,0.532625891,0.582875016,0.59450924,0.596064813,0.592775275,0.58627728,0.577609089,0.567615373,0.557029447,0.546371405,0.535924105,0.525797179,0.516002734,0.506507904,0.497264822,0.488225802,0.479349654,0.470602757,0.461957166,0.453387658,0.444868672,0.436371733,0.427863808,0.419306652
AOFA_LOND_in,0.625516129,0.7043801,0.703414229,0.668595086,0.616721823,0.564105942,0.513817233,0.460832903,0.400623962,0.33218931,0.257683882,0.180870435,0.105546533,0.034547854,-0.030541185,-0.089183502,-0.141497929,-0.187899761,-0.228864645,-0.264816064,-0.296098076,-0.322991498,-0.345742846,-0.364588962
CHIC_KANS_in,0.458675482,0.531871699,0.545648175,0.544621485,0.540919862,0.532149537,0.517858789,0.500137215,0.481501293,0.463699844,0.447560238,0.433278126,0.420734104,0.409701493,0.399951636,0.391295791,0.383594226,0.376749959,0.37069585,0.365380654,0.36075627,0.356768539,0.353351993,0.35042807
AMST_BOST_in,0.466079251,0.51147798,0.493965722,0.481881872,0.483085731,0.491426588,0.500228255,0.505527186,0.506352942,0.503539313,0.498433371,0.492179838,0.485531286,0.478910126,0.472524075,0.466455774,0.46071417,0.455258916,0.450010973,0.444857771,0.439657344,0.434243191,0.428429348,0.422016039
ALBQ_ELPA_in,0.545628163,0.568785751,0.55586167,0.545991886,0.540760437,0.537922938,0.535916684,0.533588106,0.530212614,0.525477438,0.519341629,0.511892275,0.503251437,0.493529817,0.482807739,0.47113065,0.458511067,0.444932484,0.430352931,0.414708031,0.397913301,0.379866857,0.360452111,0.339540938
EASH_WASH_out,0.277020087,0.302191261,0.355286765,0.352650309,0.306050013,0.22622269,0.119495344,-0.010765001,-0.162988189,-0.336389684,-0.530384864,-0.744427152,-0.978038337,-1.230833707,-1.502478658,-1.792604296,-2.100734415,-2.426254335,-2.768424411,-3.126420205,-3.499379895,-3.886441816,-4.286763787,-4.699526695
BOIS_PNWG_out,0.166563341,0.053801363,-0.11966925,-0.255258599,-0.338118484,-0.366039535,-0.351172468,-0.314382318,-0.27433115,-0.242171574,-0.222191707,-0.214543458,-0.217587631,-0.22926861,-0.247742183,-0.271580895,-0.299783689,-0.331709627,-0.366993859,-0.405468133,-0.447098442,-0.491936094,-0.540084457,-0.591676092
