,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,BOIS_DENV_in,84201896.38166746,83092728.66519639,83122858.07809596,83341382.78921291,83541673.38752739,83732425.81629586,83943793.45545132,84200182.59853289,84500556.28877811,84825401.76666178,85157514.62707634,85492521.69248965,85836134.70589909,86196894.7456723,86581051.54071744,86991055.19948012,87426358.23167096,87884928.10040316,88364538.97994882,88863529.09488733,89381061.39196755,89917076.84720267,90472085.77507386,91046935.62746406
1,CHIC_WASH_in,2694991456.0346107,3016463170.6833563,3373514619.848415,3573099046.797676,3553955867.9956956,3459586161.8208027,3404855541.039652,3422493096.535045,3501028617.9431667,3616315871.6958413,3744194207.754544,3865775231.9250865,3969505132.585645,4050559679.133485,4108768334.309536,4146408176.6881146,4166588883.0738974,4172345572.668536,4166274625.3680305,4150487189.8222117,4126704326.607525,4096384654.457152,4060835690.084337,4021289152.7779684
2,SACR_SUNN_in,4984117363.170186,4890964214.5363455,4921916747.758509,4991290019.450756,5079778486.124619,5173738368.9404335,5267862534.690041,5361963858.832598,5456919272.491369,5552999453.583681,5649707299.583445,5746141057.936073,5841375341.175958,5934685017.500683,6025607481.015905,6113899390.077286,6199454844.568137,6282226938.87742,6362175043.614874,6439241552.368447,6513350267.307748,6584416665.620437,6652362125.8818245,6717125584.5080385
3,CHIC_STAR_in,10435594975.797411,9834928589.820107,9780325762.9323,9854678313.055153,10071786024.577847,10357447050.694746,10662092934.872204,10974198892.99238,11295192031.815575,11625063496.879337,11958947435.073414,12288665314.120686,12605474460.688404,12902228822.402256,13174396315.38158,13420071554.811596,13639402058.699408,13833829344.657413,14005407931.64952,14156318733.409544,14288585654.29157,14403955533.518372,14503882099.539654,14589566474.700144
4,CHIC_WASH_out,3689142102.63651,3783820881.094285,3880535724.914392,3922238090.9195657,3929458186.643369,3923606842.2223015,3919533961.435978,3927703427.770368,3952338484.9627967,3991755688.315964,4041096420.5275908,4095227594.8936977,4150339879.519645,4204228873.949543,4255904257.119081,4305077357.40316,4351779868.138567,4396146502.61189,4438321941.8483715,4478434443.619746,4516598822.626027,4552922724.748649,4587513360.0857,4620478786.28743
5,JGI_SACR_in,22013682.994083703,22363642.254241526,22620535.68091496,22558791.89549609,22446174.09942832,22373033.483349297,22339752.177601904,22324431.7447177,22308602.650224976,22285972.752658937,22259663.557532117,22236065.247337997,22220693.502610542,22216880.38007659,22226088.428061157,22248643.228167504,22284337.99960988,22332810.940020904,22393760.598703023,22467058.472686343,22552789.29463915,22651236.29138592,22762830.97625974,22888085.897955257
6,AOFA_LOND_out,8827797729.999434,7969876542.305373,8132090755.477957,8667279419.82528,9260888824.770288,9837230504.083202,10435740148.134733,11087422782.47937,11782526359.265636,12486365131.880508,13162507489.867287,13786331550.460308,14347430658.845543,14845800881.90901,15286746719.032104,15677062072.996725,16023010512.87971,16329666428.727947,16600983893.110237,16840119187.369308,17049746188.348345,17232269452.351414,17389935535.2038,17524869735.64466
7,ELPA_HOUS_in,2329551014.0787005,2443623305.63325,2674170870.585475,2802630357.434108,2835368571.2667418,2820402885.495922,2794804937.513863,2779890832.0271306,2784701702.900825,2810857170.696069,2856402044.339078,2918101733.4724274,2992625537.49519,3077105945.5648623,3169351263.5342345,3267858260.075545,3371719207.3821263,3480485517.7391834,3594026674.5053153,3712403870.601979,3835767022.4914064,3964276984.1929827,4098054244.6118617,4237148727.818695
8,HOUS_NASH_in,2315277733.322054,2262112856.794579,2384395014.297955,2422466026.4583263,2390025781.141523,2334873885.114642,2286650673.5455003,2256512497.271936,2243770962.1692023,2243159867.229546,2249504849.9667773,2259368578.470855,2270991325.8300214,2283741288.64908,2297626817.005581,2312986908.9953365,2330320821.971796,2350198360.100929,2373211345.426626,2399942855.6445804,2430944855.7342024,2466719185.4201093,2507699866.4745646,2554238045.846061
9,LOND_NEWY_in,4705801190.061316,4286924010.2909937,4434821950.261958,4854086921.687707,5352683616.783977,5829473676.926242,6274886278.024615,6707662281.207145,7140062324.0242815,7571823589.377109,7995084488.14526,8400449450.486226,8780769553.057346,9132390713.863565,9454772379.726107,9749451095.791649,10018992061.922264,10266216790.222557,10493753549.73997,10703847506.701023,10898334654.826578,11078697544.749702,11246147636.56241,11401702851.831348
10,ATLA_NASH_out,2733063968.544928,2802797532.1958103,2905459183.2071652,2985921570.3756046,3002139736.5065465,2981062245.4571943,2960632705.9394956,2962991827.076373,2998344148.358398,3071476019.8701406,3182953221.1100283,3329273844.640535,3504555831.50845,3702748247.3104424,3918990688.206577,4149888862.4022865,4393177284.750252,4647248585.649126,4910792821.351342,5182602461.566428,5461500854.705067,5746338075.797337,6036009615.05029,6329475464.28861
11,ALBQ_SNLA_out,433707515.5379032,409729962.5203478,403975571.1311421,403199946.5064614,404838392.6704756,408055568.08882403,412308136.1623746,417157201.281578,422232881.7247168,427282232.6525319,432174489.92152846,436864433.93663496,441352994.007097,445661095.22534966,449815338.17057407,453841092.51468605,457759855.60479283,461589010.1223281,465342853.5275878,469034014.8026801,472674845.78141475,476278531.10568327,479859760.9358899,483434954.0544586
