sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SACR_SUNN_in,0.854473838,0.826465643,0.802639778,0.771636699,0.738355185,0.704131188,0.669952397,0.636997585,0.606668313,0.580218196,0.558423932,0.54149257,0.529176184,0.520958954,0.51622033,0.514308082,0.514582904,0.516413347,0.519185437,0.522303495,0.525198889,0.527353468,0.528316253,0.527719592
SACR_SUNN_out,0.802462753,0.769105701,0.738500514,0.698834429,0.655618571,0.610511547,0.56481738,0.520290705,0.479229593,0.443886786,0.415816912,0.395552045,0.38268545,0.376200436,0.374821567,0.377253876,0.382288339,0.38881619,0.395808388,0.402300311,0.407397574,0.410301913,0.410346305,0.407029056
LOND_NEWY_in,0.943116398,0.912958971,0.878010784,0.835882873,0.792920481,0.751526613,0.712474306,0.676295763,0.643798885,0.615836096,0.59295827,0.575245045,0.562323991,0.553486347,0.547816101,0.544294393,0.541874939,0.539540606,0.536349485,0.531475057,0.524239594,0.514138861,0.500856154,0.48426494
LOND_NEWY_out,0.931091402,0.900775494,0.867733539,0.826609973,0.784154929,0.743057765,0.704280448,0.66832986,0.635876304,0.60762846,0.584046097,0.565184631,0.550706444,0.539982748,0.532209476,0.526499248,0.521945214,0.517666486,0.512845301,0.506760461,0.498816747,0.488568229,0.475732432,0.460194297
JGI_SACR_in,-0.054565993,-0.191688711,-0.187372385,-0.143028726,-0.112955061,-0.107559759,-0.120014973,-0.140629582,-0.162299235,-0.181440707,-0.197072151,-0.209577509,-0.219809088,-0.228616209,-0.236670994,-0.244446251,-0.25225075,-0.260275734,-0.268633129,-0.277384356,-0.286558284,-0.29616311,-0.306191952,-0.316626709
JGI_SACR_out,0.764493665,0.709011073,0.662806067,0.619782484,0.576283739,0.530741791,0.484750007,0.441172762,0.402517301,0.370135038,0.344230527,0.324311128,0.309660749,0.299623135,0.29368372,0.291427282,0.29245075,0.296283623,0.302340818,0.309914048,0.318197123,0.326335827,0.333490728,0.338902802
HOUS_PANTEX_in,0.916938299,0.880279495,0.840321995,0.792306869,0.743006123,0.694367348,0.646909087,0.601429782,0.55928847,0.521996482,0.490781149,0.466351433,0.44886448,0.438014506,0.433163521,0.433461424,0.437934842,0.445546959,0.455240408,0.465975184,0.476767612,0.486730416,0.495109242,0.501310718
HOUS_PANTEX_out,0.947905166,0.928745049,0.897390479,0.853958668,0.804888395,0.754082108,0.703998664,0.656481043,0.613121022,0.575194781,0.543579873,0.518776596,0.500973003,0.490082655,0.485736949,0.487257813,0.493651893,0.503654322,0.515822713,0.528661134,0.540745339,0.550826982,0.55790545,0.561266142
BOIS_PNWG_in,0.870143532,0.829743849,0.792151591,0.74278902,0.687706281,0.628363511,0.567111823,0.506993429,0.451122656,0.402061846,0.361488071,0.330116406,0.307799104,0.293729253,0.286682085,0.285237913,0.287954953,0.293483409,0.300628899,0.308380518,0.315916932,0.322600856,0.327966959,0.331708047
BOIS_PNWG_out,0.886351442,0.851467177,0.814883805,0.768761494,0.719972085,0.6714045,0.624880808,0.581600178,0.542398142,0.507856841,0.478386545,0.454257667,0.435582397,0.422283437,0.414084007,0.410529092,0.41102597,0.414889256,0.421379423,0.429733335,0.43918845,0.449005272,0.458490572,0.467020532
DENV_NREL_in,0.780831112,0.70593167,0.646579301,0.594810058,0.550632467,0.510672329,0.473101049,0.437921455,0.406112593,0.378715634,0.356312912,0.338900806,0.326007438,0.316904549,0.310804207,0.306987471,0.3048605,0.303957408,0.30391594,0.304445089,0.305297071,0.306247581,0.307085286,0.30760878
DENV_NREL_out,0.870153297,0.822312626,0.776849319,0.724814509,0.672597861,0.62193213,0.573758534,0.529158241,0.489400738,0.455570111,0.428268854,0.407539349,0.3929599,0.383818146,0.379277682,0.378494074,0.38067254,0.385082174,0.391047038,0.39793166,0.405131392,0.412072102,0.418218317,0.42308624
CHIC_WASH_in,0.684220257,0.66058052,0.639549669,0.613762187,0.586915995,0.559944135,0.533425853,0.508061793,0.484673498,0.463987558,0.44646712,0.432251206,0.421182364,0.412882136,0.406837984,0.40247748,0.399221518,0.39651884,0.393868594,0.390835709,0.387062041,0.382273025,0.376279721,0.368976882
