,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,[34.07747341],[45.4101234],[50.86696196],[54.63527526],[75.08821093],[77.05783506],[80.68839815],[82.67715628],[91.81811875],[87.49974943],[91.69257284],[98.88404242],[98.36232039],[101.00818396],[98.05092478],[98.17649079],[107.88852546],[97.92344748],[100.56735644],[101.82279761],[109.55212093],[115.35253814],[126.48514904],[139.52659633]
1,SACR_SUNN_out,[16.82336291],[21.42034138],[22.77104896],[25.34072287],[27.04162755],[31.6436088],[32.12696558],[34.10148831],[37.37804965],[38.3451922],[37.34422323],[39.26681622],[41.26154188],[40.0411105],[41.18821767],[39.94989352],[40.8402817],[42.32328543],[42.12478328],[42.98622616],[49.8252387],[57.63683644],[60.03803091],[63.95482493]
2,LOND_NEWY_in,[12.88133955],[16.09197333],[18.43156548],[20.08871474],[21.49669186],[22.30431188],[23.28925667],[23.93364159],[24.50203741],[25.40063418],[25.87923912],[26.45134778],[26.97331873],[27.04855305],[27.23860001],[27.51077717],[27.94773228],[28.16987822],[28.27359051],[28.36391492],[28.64469284],[28.39625592],[28.53870337],[28.736383]
3,LOND_NEWY_out,[15.11248568],[17.57076602],[18.85723836],[19.94164523],[20.55738069],[20.93078889],[21.58235108],[22.39831682],[22.91621702],[23.16226389],[23.50534535],[24.18397543],[24.69347243],[24.85748787],[25.3162292],[25.83394267],[25.97222723],[26.41857413],[26.99236889],[27.0600925],[27.37184767],[27.77508287],[27.96965937],[28.25385656]
4,JGI_SACR_in,[20801.84368018],[20705.43509001],[21090.03070869],[21059.45441575],[21106.97225827],[20919.24945797],[21240.17381591],[21082.16424884],[21038.23451665],[21276.90940692],[21246.306263],[21510.53372967],[21514.1285469],[21270.5832715],[21409.43341171],[21760.85384647],[21338.04427438],[21674.69227131],[21819.05370505],[21572.19826147],[21714.19981883],[21642.50306491],[22000.84159819],[22185.31921083]
5,JGI_SACR_out,[294.66705642],[359.37519626],[458.09254585],[475.23674943],[554.45519827],[512.11855537],[585.32567724],[630.77225982],[732.22641125],[734.53610995],[731.25807067],[814.29407832],[1021.98445177],[1196.1706449],[1204.39718649],[952.02406073],[816.18532238],[765.22898408],[801.40070422],[853.92326479],[883.1906343],[816.5052223],[830.86103527],[837.42713096]
6,HOUS_PANTEX_in,[76.87433993],[115.02210477],[136.77127437],[144.2961548],[142.8155144],[150.23787859],[147.52259747],[148.5516953],[153.15773218],[161.41637905],[166.4970394],[170.04421848],[170.27795495],[170.620765],[176.19324539],[180.90571526],[186.73798278],[188.42311364],[176.26336915],[171.07962697],[171.8293179],[169.87462667],[166.22878776],[163.38182573]
7,HOUS_PANTEX_out,[170.21693375],[273.65793305],[322.12495258],[325.39682167],[301.6870748],[300.27374464],[261.32345561],[244.68978955],[242.29628073],[291.62779337],[321.57760755],[346.97225761],[362.3307322],[364.3461363],[376.07931549],[394.80545444],[429.03289242],[432.83249416],[360.38024262],[319.19213315],[293.19736727],[297.24044296],[289.06593314],[283.80759288]
8,BOIS_PNWG_in,[94.09060747],[102.36808755],[110.27074216],[120.14014766],[130.06463595],[140.19150041],[151.13800117],[158.6741],[166.86806498],[173.74573524],[174.7287369],[178.31215349],[180.34796215],[175.46452282],[168.83031421],[163.96685695],[153.54826387],[148.94925258],[141.50178975],[132.25352411],[128.16602321],[117.57933169],[112.39859256],[108.92235418]
9,BOIS_PNWG_out,[560.54682215],[467.35622534],[590.79718922],[582.69503339],[624.03464464],[562.2818732],[524.725044],[601.16312553],[534.92346084],[618.7573178],[369.37579379],[609.05958114],[573.62723027],[572.94394859],[588.98084637],[559.82647347],[613.81750292],[635.60638013],[595.80605183],[719.19577512],[707.2832831],[542.77292939],[630.82180495],[540.95684414]
