,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,0.7925160857256105,0.6538425909145517,0.5746406502771246,0.5044742757243417,0.426277991956575,0.3557456718712325,0.2673182492040548,0.18661714367687254,0.12532369284687606,0.07456838936694643,0.006719060226927032,-0.06532669404485691,-0.1383601782270807,-0.2079537996446006,-0.26359223766701634,-0.33740306132087317,-0.4052093107910837,-0.4646594508790356,-0.5301587364712075,-0.5896137366034602,-0.6476498382075626,-0.6929656567040339,-0.7347535418640154,-0.7710509817433162
1,SACR_SUNN_out,0.841103993654243,0.7287446049501635,0.6306539165718078,0.5357378009594318,0.4571726335583489,0.3768316508751067,0.28894183420450814,0.2221947125006939,0.15804507485279184,0.08665940888910206,0.02158397911205867,-0.046459355350874976,-0.10707830881500024,-0.16281817930632458,-0.21530359971004276,-0.2600596055046158,-0.3058179852867997,-0.3546696984843096,-0.4089733908292734,-0.4633953895469405,-0.5152567341803025,-0.5682137163841878,-0.6179600804750871,-0.6610262659437238
2,LOND_NEWY_in,0.8604878228687824,0.7714950893540378,0.6987953243196154,0.6448188552035791,0.5899417234740403,0.5451853002152933,0.5034899089297802,0.4733406674730757,0.44418172483317064,0.41776113980549334,0.39436177670384864,0.375733517323396,0.3601691061867549,0.35512209760555635,0.35286114801360735,0.35188028397609716,0.3461829263965056,0.3500513725115081,0.36134311474484715,0.36835285126329387,0.3718302897204059,0.3784734083446355,0.3816201398754926,0.3770482570129703
3,LOND_NEWY_out,0.8419919821572766,0.7904958487079031,0.7523037480402588,0.7241973410080456,0.7087334501348899,0.6949529976211345,0.6809819900557095,0.6608155998713348,0.648626962126627,0.6360696002226633,0.6228999651571331,0.607365222012602,0.5920960210259159,0.5711927651412916,0.5560548738681725,0.545723827311017,0.5365428121795731,0.5251888419523234,0.5073779508535832,0.49834526446330385,0.48801401938059685,0.4759315481062866,0.4686114792317133,0.4624457379258805
4,JGI_SACR_in,-0.04882183380322136,-0.008435767137225714,-0.044710879834529926,-0.03387370313623417,-0.03382438199239424,-0.014381100563193971,-0.05059358284952542,-0.05231627976577791,-0.02876652316208883,-0.04911719823196137,-0.026737321167606964,-0.042077306228295974,-0.05274397367363948,-0.027349644626794456,-0.04128505927934678,-0.03198879036314639,-0.0499475249510537,-0.05658890358884672,-0.0596447173597392,-0.03711789590651282,-0.04380075247534809,-0.043129193745851335,-0.06351939211248547,-0.06903975747466373
5,JGI_SACR_out,0.32750601636981636,0.005418646269606309,-0.14244699766621216,-0.1821581846596867,-0.2153130805521739,-0.18347971219232906,-0.24081628713376535,-0.24718382584788845,-0.246736676663611,-0.2592599739792498,-0.2745861475812952,-0.2297807572727748,-0.27949304347007686,-0.2834283089709482,-0.2492632585189909,-0.23000407069373208,-0.25107364147162103,-0.23822834738616105,-0.30629944154134936,-0.3059014217939724,-0.2758534299940143,-0.22635065104506014,-0.18871909775992735,-0.1325378391631642
6,HOUS_PANTEX_in,0.6188167520024637,0.3547255965002324,0.14287822487368262,-0.009517717322121033,-0.14584219176313562,-0.2684243551623595,-0.3730410969727005,-0.4872925457533468,-0.5961552787752029,-0.6747294630097556,-0.7373956375027222,-0.789742658279128,-0.8389840418698435,-0.8476807837679916,-0.8519770319939424,-0.8503186618783576,-0.8304944566683372,-0.7812474304305199,-0.7396589145090042,-0.7034460960340558,-0.666364314394166,-0.6142488274821287,-0.564142257389959,-0.5452639953639322
7,HOUS_PANTEX_out,0.7027807808895812,0.4145089134738843,0.16890825758187678,-0.008661308573435278,-0.14559860808018366,-0.26057173964309865,-0.350460419378158,-0.43794635131035897,-0.48720410559614735,-0.49331103404975307,-0.47318619869143363,-0.47388495594811797,-0.5261064054231954,-0.5928954737679348,-0.6396827522777924,-0.6832733502308395,-0.6981904043363694,-0.6838508652339106,-0.6587951804076941,-0.6135927808793324,-0.560354274119915,-0.48242219742373704,-0.4039625687344135,-0.34199588682605797
8,BOIS_PNWG_in,0.5170839890062201,0.37188241914045295,0.20447454299261703,0.01899986606452042,-0.1706902946723441,-0.35797166943035674,-0.5210188736790913,-0.6513365106231073,-0.7714194344033285,-0.8506174623275111,-0.8599318255266855,-0.883134108367041,-0.8707058837318284,-0.8440973079139442,-0.7646501150740292,-0.6569108386822866,-0.5361703252007679,-0.4213521944851333,-0.27770287697132745,-0.144198440119494,-0.023208077834311336,0.1055258176243109,0.19110209629221397,0.2272739813406749
9,BOIS_PNWG_out,0.5213188224682876,0.1996773288182574,-0.10272922388813366,-0.2994449987168275,-0.3933833989064719,-0.45627364355906064,-0.501762282218922,-0.5348304662080978,-0.5734128870996973,-0.6005853102505323,-0.6191525793444683,-0.6218036542625909,-0.6142958612019143,-0.5589125250379681,-0.517577229346452,-0.4721876609522144,-0.44803316772116997,-0.4252357284257122,-0.41899321899970743,-0.42232529891460757,-0.3944016982694738,-0.3192834216759304,-0.21518217481584334,-0.09829011403675358
10,DENV_NREL_in,0.14069317285364769,-0.14746704248589637,-0.24861662752994218,-0.32770275948559213,-0.4311696657608848,-0.4999990194184183,-0.49928453491880354,-0.49453753024803593,-0.4092101331920033,-0.3832953584570231,-0.39864483228573544,-0.4218957292304619,-0.4119307497143605,-0.45710799475792707,-0.5174783515398775,-0.553253450545834,-0.5682886716966011,-0.6104794182340956,-0.6139214965779438,-0.5978542141995291,-0.5997425838035098,-0.5944005543353177,-0.35800750173650453,-0.1692624737828481
11,DENV_NREL_out,0.3439391964229418,0.10634504163094982,0.030765780857612945,-0.1484492718006456,-0.22224388848447818,-0.32503476693031064,-0.3867149203857685,-0.4865348625559296,-0.5525410333062706,-0.5542576216029467,-0.5477968127627455,-0.550438896487534,-0.5383475917962666,-0.5527523971526969,-0.5825339207425768,-0.5742051882568537,-0.5298595184613415,-0.5061869342891445,-0.45824342477129876,-0.39508883081921375,-0.3680600227541915,-0.3408155440762419,-0.2547412747495512,-0.15859884294620152
12,CHIC_WASH_in,0.8123196599447833,0.7097543922633871,0.6407355339579881,0.5763422442292827,0.5149420206226341,0.45643168430289105,0.412114339579684,0.3755763925732778,0.31180725942456033,0.258057346357934,0.2100368677592218,0.16527363839546572,0.11223830848730132,0.05272853816211476,0.0009663033413991329,-0.04949260407719458,-0.11010349274289677,-0.17386382238794984,-0.22519659198300102,-0.2577693911280845,-0.3188392652503793,-0.37734057064181825,-0.4310178057341809,-0.475478032666691
13,CHIC_WASH_out,0.7371681659845225,0.6265236161939421,0.5520526825272777,0.5035448350203879,0.45113925082279527,0.4144735680848065,0.375159449927155,0.3342027220920617,0.28750145722336584,0.25105241817098845,0.21204358058547912,0.17908521945521827,0.11012022339997263,0.07061232045359933,0.04278526263797333,0.0208270852353466,-0.023930454249513122,-0.054742578003957654,-0.07781626132461295,-0.10218788712446569,-0.14389385170512092,-0.17341571743013096,-0.19579264521100526,-0.2311743719399051
