,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,BNL_NEWY_in,0.971126241,0.968764171,0.965583382,0.96218294,0.95877516,0.955173817,0.951278153,0.947200918,0.943211088,0.939610122,0.936624857,0.934356732,0.932783855,0.931793623,0.9312223,0.930887281,0.930609186,0.930223848,0.929586366,0.928572315,0.927076355,0.925011467,0.922308407,0.918916939
1,ALBQ_DENV_out,0.943761053,0.942664753,0.938448931,0.933885551,0.92954033,0.925271123,0.920898154,0.916436918,0.912087263,0.908124975,0.904788537,0.902211224,0.900407392,0.89929457,0.898727658,0.898529737,0.898513502,0.898493575,0.898292425,0.897742706,0.896688316,0.89498577,0.892506996,0.889143799
2,CERN-513_WASH_in,0.958563044,0.945211818,0.930463378,0.913178533,0.895845032,0.87898215,0.862610221,0.846894423,0.832267298,0.819272395,0.808376102,0.799852223,0.793752156,0.789932521,0.788106985,0.787899333,0.788887427,0.79063607,0.792720451,0.794742902,0.79634543,0.797219458,0.797113668,0.79583975
3,NASH_WASH_in,0.958827033,0.945109511,0.934653642,0.922227767,0.909595175,0.896712907,0.883520102,0.870251056,0.857364679,0.845350967,0.834584803,0.825259879,0.817389963,0.810852683,0.805448137,0.800950837,0.79714414,0.793836786,0.790866266,0.788095131,0.785404976,0.782690987,0.779858427,0.776820903
4,CERN-513_WASH_out,0.957953472,0.944324608,0.931245219,0.913881375,0.894541914,0.873859987,0.852358907,0.830867889,0.810529856,0.792485504,0.777558902,0.766115162,0.758093896,0.753138255,0.750737645,0.75033465,0.751383597,0.753372337,0.755825391,0.758302795,0.760402805,0.761769667,0.762104702,0.761178068
5,ATLA_ORNL_out,0.963606252,0.94176669,0.919678175,0.890551348,0.858982622,0.82745095,0.797828434,0.77141648,0.748950199,0.730645338,0.716355888,0.705751197,0.698437783,0.694014217,0.692080651,0.692228885,0.694031261,0.697037775,0.700783902,0.704806458,0.708663506,0.711954551,0.714338416,0.715547391
6,NASH_WASH_out,0.946662784,0.922859465,0.900430424,0.8734395,0.846228067,0.819777976,0.79425506,0.769901813,0.747250697,0.726969809,0.70966002,0.695719574,0.685292129,0.678277546,0.674377426,0.673153484,0.674084605,0.676615443,0.68019399,0.684297949,0.68845174,0.692237023,0.695299001,0.697349804
7,ATLA_SRS_out,0.980983058,0.969851869,0.951009997,0.923175357,0.886762725,0.842440396,0.791917498,0.738043002,0.68455068,0.635314477,0.593530959,0.561205931,0.539075083,0.526899768,0.523909391,0.529117092,0.541402666,0.559451852,0.581694187,0.606324949,0.631421118,0.655112905,0.675758151,0.692075305
8,ATLA_NASH_in,0.951909998,0.932538086,0.912807976,0.887750252,0.861182056,0.834311699,0.807873757,0.78264904,0.759505942,0.739211259,0.72227431,0.708890215,0.698964211,0.69217874,0.688070792,0.686100619,0.685704351,0.686329975,0.687459959,0.688624067,0.689406975,0.689453654,0.688474939,0.686253155
9,ELPA_HOUS_out,0.944835773,0.917651772,0.891770648,0.859791632,0.826683416,0.794570901,0.764802084,0.738278816,0.71557796,0.696959666,0.682406898,0.67169175,0.664443747,0.660207932,0.658489603,0.658784948,0.660599721,0.663459075,0.666913028,0.670540703,0.673955699,0.676813053,0.678817941,0.679734976
10,AOFA_WASH_in,0.93518894,0.9132751,0.889262443,0.860592603,0.831578848,0.803053471,0.775181374,0.748454905,0.723841732,0.70242378,0.685017334,0.671981368,0.663214025,0.658252696,0.656397721,0.656817159,0.6586231,0.660925687,0.662874015,0.66368994,0.662696474,0.65934096,0.653211815,0.64404854
11,ALBQ_SNLA_out,0.963989257,0.946131603,0.915142678,0.866850236,0.805465529,0.735749893,0.663056332,0.59306682,0.531018947,0.480652822,0.443705244,0.420212036,0.409200916,0.409271581,0.418882354,0.436410826,0.460116509,0.4881039,0.518339073,0.54873064,0.577256641,0.602103095,0.621783146,0.635218126
12,ELPA_SUNN_in,0.946849034,0.919835565,0.89441888,0.86102331,0.825178087,0.789261884,0.755040288,0.723860698,0.696668597,0.673961292,0.655833064,0.64207622,0.632284359,0.625935408,0.62245192,0.621242027,0.621726849,0.623357566,0.625626577,0.62807478,0.630297048,0.631947046,0.632742237,0.632468744
13,HOUS_NASH_out,0.93583869,0.903215659,0.874173839,0.838865841,0.803064064,0.768517409,0.736104876,0.706541151,0.680543616,0.658689891,0.641280938,0.628296102,0.6194297,0.614172489,0.611901758,0.611957306,0.613693762,0.616510748,0.619867089,0.623286139,0.626357746,0.628739804,0.630160405,0.63042052
14,SACR_SNLL_out,0.884417571,0.876506423,0.866284004,0.850357337,0.832233639,0.812860845,0.793181326,0.774164044,0.756660158,0.741222879,0.728071304,0.717142362,0.708168262,0.700753486,0.694442089,0.688771697,0.683314702,0.677707083,0.671664862,0.664988708,0.657556444,0.649306404,0.640214789,0.630272014
15,AOFA_WASH_out,0.916148559,0.896312135,0.874977083,0.849065972,0.822394878,0.795389495,0.768035493,0.740796058,0.714730113,0.691119941,0.671047203,0.655139197,0.643518953,0.635888051,0.631655311,0.63005357,0.630224966,0.631278118,0.632329219,0.632536111,0.631128813,0.627437079,0.620913966,0.611154507
16,AOFA_NEWY_out,0.946190417,0.92002653,0.889784196,0.854647379,0.819994704,0.787179854,0.756336521,0.727668633,0.70180058,0.679508702,0.661383513,0.647650763,0.638155396,0.632432266,0.629797817,0.629430388,0.630434657,0.631895371,0.632926311,0.632715949,0.630567801,0.625932233,0.618426779,0.607844407
