,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,48.74224853515625,75.43580627441406,89.12049102783203,97.88025665283203,116.12995147705078,121.17657470703125,125.9583969116211,128.7860870361328,137.44009399414062,137.5837860107422,139.50701904296875,140.8499298095703,144.3860626220703,145.3075408935547,142.4873504638672,139.79759216308594,144.24551391601562,145.57115173339844,146.45265197753906,147.3236541748047,156.79849243164062,162.8584442138672,167.57664489746094,173.7740478515625
1,SACR_SUNN_out,17.6712646484375,23.413637161254883,25.964628219604492,28.3914794921875,31.931400299072266,36.95906448364258,39.2652702331543,41.405765533447266,45.601253509521484,47.937591552734375,51.879276275634766,54.05813980102539,57.79888153076172,60.5774040222168,62.628753662109375,63.5747184753418,67.52137756347656,69.68650817871094,69.78492736816406,71.74356079101562,78.04368591308594,81.90612030029297,85.44268035888672,88.7513198852539
2,LOND_NEWY_in,13.047653198242188,17.094884872436523,19.721885681152344,21.51953887939453,23.137758255004883,24.159465789794922,25.06900978088379,25.751054763793945,26.348430633544922,27.088165283203125,27.58580780029297,27.936813354492188,28.33872413635254,28.695173263549805,29.089706420898438,29.607553482055664,30.38138198852539,31.093671798706055,31.82831382751465,32.6756477355957,33.6002197265625,34.17329025268555,34.40877151489258,34.73393630981445
3,LOND_NEWY_out,14.975858688354492,18.176664352416992,20.06160545349121,21.66771125793457,23.060876846313477,24.420944213867188,25.55105209350586,26.638858795166016,27.565515518188477,28.27067756652832,29.01446533203125,29.66352653503418,30.180450439453125,30.698490142822266,31.10420036315918,31.229248046875,31.16708755493164,31.123788833618164,31.1789493560791,30.946483612060547,30.679378509521484,30.446807861328125,30.412002563476562,30.49769401550293
4,JGI_SACR_in,29403.615234375,27773.251953125,26667.302734375,25925.904296875,25920.896484375,26078.6171875,26534.4765625,26653.23046875,27057.3515625,27473.265625,27721.673828125,28199.419921875,28451.205078125,28722.267578125,29348.64453125,29296.50390625,30493.978515625,30931.7890625,31504.087890625,31799.349609375,32159.19140625,32142.791015625,33226.08984375,33512.78515625
5,JGI_SACR_out,280.3142395019531,379.3387756347656,464.4906921386719,527.0747680664062,603.0791015625,645.8316650390625,714.5595703125,750.6043090820312,789.2564697265625,805.7422485351562,828.86669921875,859.27880859375,879.5059814453125,884.7532348632812,878.820556640625,856.5397338867188,842.6804809570312,840.7053833007812,846.4600830078125,843.5781860351562,845.2572021484375,844.614501953125,842.7051391601562,841.392822265625
6,HOUS_PANTEX_in,94.93778228759766,201.94668579101562,293.1115417480469,356.0181579589844,397.59625244140625,437.48687744140625,461.85003662109375,486.1547546386719,510.4175720214844,526.0471801757812,541.2880859375,556.6654052734375,567.8074951171875,577.216796875,585.6844482421875,595.923095703125,606.9302978515625,619.5355834960938,631.2303466796875,647.2962036132812,666.8889770507812,685.19921875,699.5083618164062,709.9540405273438
7,HOUS_PANTEX_out,119.27852630615234,249.9168701171875,310.3703308105469,314.3285217285156,298.7379455566406,303.37322998046875,298.09521484375,298.5028381347656,298.10821533203125,299.3439025878906,300.52825927734375,301.14642333984375,302.3575744628906,303.4743957519531,304.9468078613281,306.01220703125,306.0820617675781,308.39727783203125,321.56890869140625,327.6194152832031,331.22283935546875,327.99755859375,327.08538818359375,326.8052062988281
8,BOIS_PNWG_in,112.02029418945312,133.54002380371094,151.3271942138672,167.6273651123047,181.8437957763672,196.6350555419922,207.99810791015625,216.9803924560547,224.22511291503906,230.5633544921875,234.8580780029297,238.08213806152344,240.84706115722656,241.93910217285156,242.33155822753906,241.5540008544922,241.01712036132812,239.5435028076172,239.30795288085938,238.81317138671875,241.00604248046875,243.3014373779297,246.0775146484375,251.7613067626953
9,BOIS_PNWG_out,1085.724853515625,1551.7122802734375,1231.458740234375,1486.3707275390625,1571.7398681640625,1969.6815185546875,2201.36181640625,2203.771484375,2547.220458984375,2619.318603515625,2963.67578125,2711.027587890625,2793.216064453125,2811.807861328125,2833.9375,2846.880859375,2847.248291015625,2824.79443359375,2766.56787109375,2739.516357421875,2697.995361328125,2640.716796875,2643.86669921875,2619.257568359375
10,DENV_NREL_in,33.0109977722168,45.185176849365234,49.87419128417969,53.58757781982422,57.1251106262207,60.547088623046875,63.03883361816406,65.3772201538086,67.47216033935547,69.80619049072266,72.42446899414062,75.09906005859375,77.29241180419922,79.41838836669922,81.21121978759766,82.7500228881836,83.76250457763672,84.78558349609375,85.94245910644531,87.02532958984375,87.21534729003906,87.14141845703125,86.77830505371094,88.31753540039062
11,DENV_NREL_out,516.79736328125,756.52197265625,958.2498779296875,1109.492431640625,1233.0389404296875,1347.157470703125,1454.18505859375,1553.3028564453125,1646.166259765625,1673.3038330078125,1680.5098876953125,1674.4136962890625,1659.927734375,1633.7347412109375,1582.9400634765625,1528.6629638671875,1485.20556640625,1460.6893310546875,1453.2984619140625,1442.778564453125,1462.71484375,1477.5257568359375,1487.0826416015625,1537.71044921875
12,CHIC_WASH_in,17.132652282714844,24.22642707824707,26.81844139099121,29.7274169921875,32.47455978393555,34.59905242919922,36.66284942626953,39.03345489501953,41.38990783691406,43.10942459106445,44.94860076904297,46.39775848388672,47.77428436279297,49.574771881103516,51.3702392578125,52.635005950927734,54.29712677001953,55.898433685302734,57.726829528808594,59.28096008300781,61.0052375793457,62.587005615234375,64.0840072631836,65.71764373779297
13,CHIC_WASH_out,13.777983665466309,18.675504684448242,21.53539276123047,23.954561233520508,26.200220108032227,28.08642578125,30.127241134643555,32.214088439941406,34.29109191894531,36.156551361083984,37.872764587402344,39.64951705932617,41.553550720214844,43.2044677734375,44.78058624267578,46.45435333251953,47.99797821044922,49.552852630615234,51.186710357666016,52.81658935546875,54.46581268310547,56.192718505859375,57.94728088378906,59.731605529785156
