,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,62.489893535410744,116.84428486635962,148.45068746964907,154.8944562414905,178.13396671753813,191.5004844425054,202.67200591118703,216.93565938158332,224.37365885954802,226.98167655803044,236.65270845885294,254.25158471761654,246.43592764595513,246.96555093585926,245.91185734110252,245.8349921592496,245.61378517763117,245.3545229951195,240.06606312218344,240.75839348458928,242.21438772257147,242.40514047341247,244.3932730505675,248.54360780370934
1,SACR_SUNN_out,31.97881404359846,58.02432075210737,81.2388885122347,83.63738245743576,85.19497515099332,86.6741171047835,88.7754767445883,87.89673687510678,88.58200607405453,89.0870635160913,95.14308744123186,92.3982870940072,89.77300322430919,102.39840090223659,91.38197900498379,101.86531777048742,93.57491795120728,98.39063346288857,90.36719692433681,90.46473823283357,96.6940496151257,102.36114216177305,101.9883858314341,106.23545477122525
2,LOND_NEWY_in,2.28834604599125e+21,3.400711151481685e+21,4.0086648736893627e+21,5.303415123827162e+21,6.040582714726058e+21,6.789832639636272e+21,7.303435911959605e+21,7.779585081555821e+21,8.289706057184862e+21,8.29016775770151e+21,9.448196426605147e+21,9.499492849657114e+21,1.5641721723416702e+22,1.5926073262136497e+22,1.7909391121305406e+22,1.7630187868853516e+22,1.8039228525917998e+22,1.605741006465773e+22,1.8146787647545173e+22,1.7568076887689802e+22,1.8319193305870032e+22,1.8102133777809585e+22,1.8123528433280097e+22,1.805986387947861e+22
3,LOND_NEWY_out,2.98768823035149e+21,8.802793941467346e+21,1.410093612147555e+22,1.772071383800585e+22,2.165251956810287e+22,2.494306468700526e+22,2.8191978283868214e+22,3.259919400983639e+22,3.6695316036917152e+22,3.793103257949436e+22,3.863243258875411e+22,3.863243258875411e+22,4.355145465869938e+22,4.355145465869938e+22,4.3965842758739465e+22,4.3965842758739465e+22,4.399969854286822e+22,4.399969854286822e+22,4.4001828224404426e+22,4.4001828224404426e+22,4.400198112864716e+22,4.400198112864716e+22,4.400199210667787e+22,4.400199210667787e+22
4,JGI_SACR_in,60242.6337104195,45791.45092877647,43459.30808555849,44279.02435752094,43439.37616508433,44292.935602448095,43430.11254300852,44314.559380519655,43455.229134561,44300.488966297875,43418.314362656645,44302.134501054854,43456.520330841115,44322.16527538468,43418.91720437004,44333.18180328335,43442.57708789219,44272.08303507794,43401.78833165693,44317.14895570476,43424.38834540944,44325.685400950366,43391.00251591159,44359.96307235918
5,JGI_SACR_out,348.35828980717105,539.4004898039533,754.3455145686627,784.8314648131023,826.8882839781297,833.9637841947131,836.9973411153643,845.9231717111907,849.1912294402892,845.6668422319593,841.2753248317549,858.732947170754,880.2567290906997,906.9305468149969,906.4839702681277,888.903696349749,867.9464809895408,842.9056585140903,858.4119376279903,864.565699311324,873.2980612358245,849.6228590986311,857.6974580322751,858.6399435020619
6,HOUS_PANTEX_in,102.48336054737885,163.66395345573187,211.60517435489703,231.32816387319644,226.27853313128387,238.71903853665867,249.70448712214602,257.24240673717895,258.0199424276004,258.70478716829325,260.7596121646351,257.7097031798607,259.3826832736753,262.8893298520763,265.358747707453,268.4540635744848,269.8218740064248,281.45687520833025,259.15160213126046,248.18367481237811,247.3683841385592,245.51019006509821,251.3975452984431,249.35607005417958
7,HOUS_PANTEX_out,118.74366393469865,266.157189960304,325.51677420913865,338.66075922079847,317.4493706417216,312.2597501123037,283.8471491344916,261.2650305658945,245.72611008213767,279.0504887724076,293.4453190727603,309.76181128614144,311.1709726431828,312.7361134545524,313.89491023547544,315.8944630378946,317.51363544657056,317.5434304773127,300.420344642218,299.81999171182656,292.3119514004085,295.23851917216393,292.934230839912,310.8294607176782
8,BOIS_PNWG_in,112.6046259932031,132.60876873264547,133.8507032384993,136.80628920967217,137.1866562910607,136.92394926605155,134.39433941019857,134.575569108858,134.14933951308737,133.69685442225853,133.6571120993302,135.25856641147814,133.11355324672817,132.6897159812658,132.8106306470724,133.98613695072027,131.6262831916247,131.0656730344485,130.312856288833,130.73062122383203,130.66331234928813,130.38108300762235,130.26223085993263,130.34032953621934
9,BOIS_PNWG_out,1531.1100637941865,2046.2881634155394,1559.4313480891637,1650.8240340254392,2118.6052091140987,2158.953485072558,1578.6089570451477,2140.0042384973754,1580.000649078445,1557.2930564796725,4328.10749077408,2235.295089904965,1620.3702466559203,1630.0746680405364,2206.8554285909136,1578.1388679901297,2138.493159273726,2148.4115282731277,1593.6286977277603,2206.039229573798,2150.2885291400075,1506.5691458510792,2120.523759922189,1506.6590546996013
10,DENV_NREL_in,23.270090186331892,40.48189471306035,52.467708421556566,61.938549652006564,71.14789306449913,79.41369404377963,86.76103424749628,93.94139281459907,100.70031315488161,104.07897338021809,105.6307858952325,107.71605190903236,108.7457403333232,109.95741675966451,111.68994628915198,112.11343915119271,112.10398224409127,112.09753183068379,112.1570385425488,112.1911350685486,112.18442229436397,112.11229671531818,112.02235362153252,110.99043691671584
11,DENV_NREL_out,244.70746681144644,427.6725300064115,630.0552490533285,1010.1133695592767,1462.004493722494,1714.0999491655537,2162.5164482643113,2208.305890758879,2213.7738964201058,2216.0931670275304,2217.5738573265035,2216.1167791223206,2215.1914796696883,2215.103876234523,2218.454779130922,2212.9148564954917,2213.629022724924,2213.8426186379506,2212.9712880877587,2210.149384868096,2249.9250818490086,2274.9493822148966,2235.1847244684054,2193.337755410281
12,CHIC_WASH_in,877283830168438.8,897304428346335.8,1291798381373375.2,897304428346338.2,741505272694887.9,897304428346340.1,640773067192306.9,633146633980298.1,481315070770961.25,481315070770961.6,517331608479528.44,429073579177711.9,441293006537270.94,429073579177713.56,429073579177714.44,429073579177714.3,441293006537272.6,429073579177715.75,481315070770968.3,429073579177716.56,429073579177716.94,429073579177717.06,441293006537275.4,429073579177717.94
13,CHIC_WASH_out,697838731868219.8,800792726174033.9,697838731868223.2,669960601578956.9,669960601578956.9,664937017009193.4,697838731868225.2,697838731868225.6,669960601578959.1,658185720483558.5,697838731868227.4,697838731868227.2,697838731868227.5,669960601578960.4,597578592679411.2,664937017009197.6,669960601578962.1,664937017009198.1,669960601578963.1,697838731868230.1,800792726174042.4,570219218262741.5,697838731868231.9,757216979603072.6
14,LLNL_SUNN_in,133.65694273325786,170.21948631251104,205.50383012925144,226.90713450516574,241.70392138915656,256.3526262108595,285.5090293206554,297.32782197209235,318.963421327217,337.5270581677473,351.210350703512,354.7053025955832,366.97000251419377,361.9202266369758,350.48932333703095,351.5867166664083,350.71311296688975,341.15038403589426,337.55393498287685,318.6823629604907,307.7650126174803,303.2471990070705,308.25822551090687,283.33535700632814
15,LLNL_SUNN_out,80.06636206459592,123.12926319847335,144.30664780095276,157.75794571722454,164.2362183613592,166.28443693593553,167.04983779797323,167.40213665181287,168.48518228385646,169.25215887474232,169.4132822639188,170.40244190477088,170.4195673385697,168.7062885437774,168.36347053818758,167.34777804348752,166.66810582328623,165.5826715694338,165.6252637700957,165.54422087253658,165.55997516103352,164.00795919932966,162.4000622676709,161.85056925382085
