,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,0.80349981,0.629464996,0.525598867,0.437977889,0.353680004,0.284732694,0.221996333,0.170629735,0.131954727,0.102905431,0.076981978,0.055787302,0.039154825,0.026499525,0.017443136,0.009806207,0.00388654,-0.000115468,-0.003246836,-0.005667152,-0.007420183,-0.008462434,-0.009138486,-0.009631272
1,SACR_SUNN_out,0.847162879,0.705874548,0.582485655,0.4742994,0.385008369,0.308901769,0.243365862,0.1921494,0.151100006,0.11669009,0.089835995,0.06838714,0.052311033,0.040043153,0.030624846,0.023403402,0.017689182,0.013234194,0.009632147,0.006856437,0.004806562,0.003225971,0.002094022,0.001265627
2,LOND_NEWY_in,0.8542732,0.722123001,0.599428264,0.48842921,0.371010246,0.261418262,0.15275133,0.052079788,-0.047753621,-0.144241177,-0.235265959,-0.321077493,-0.402188785,-0.475185727,-0.544876849,-0.609264324,-0.672010337,-0.72848715,-0.779964471,-0.829369535,-0.876676665,-0.920171791,-0.96163955,-1.00095164
3,LOND_NEWY_out,0.759151167,0.508100539,0.233876413,-0.038109562,-0.283768875,-0.50432769,-0.696601605,-0.863076562,-0.99995,-1.113317115,-1.206982763,-1.284153391,-1.347091371,-1.398843148,-1.439918649,-1.472782988,-1.49914428,-1.520610215,-1.53801176,-1.551819501,-1.562924464,-1.571906096,-1.578970102,-1.584656029
4,JGI_SACR_in,-0.677827914,-0.500091853,-0.521305551,-0.517637865,-0.51819356,-0.518104578,-0.518117298,-0.518115196,-0.518115509,-0.518115462,-0.518115469,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468,-0.518115468
5,JGI_SACR_out,0.345788531,0.095021312,0.02878674,0.013904918,0.00561845,0.003701395,-0.000171846,-0.001170598,-0.001617216,-0.001844269,-0.002000496,-0.002010551,-0.002069417,-0.002080836,-0.002085142,-0.002088658,-0.002091881,-0.002093081,-0.002094297,-0.002094521,-0.002094604,-0.002094642,-0.002094681,-0.002094703
6,HOUS_PANTEX_in,0.582996365,0.119037332,-0.309457723,-0.703196489,-1.067612974,-1.390335778,-1.671753953,-1.91518632,-2.126455107,-2.306156107,-2.452535885,-2.574110357,-2.680234142,-2.764486519,-2.833828508,-2.893380936,-2.942489912,-2.983975269,-3.019934646,-3.049621854,-3.074727525,-3.095096303,-3.111446934,-3.125705401
7,HOUS_PANTEX_out,0.719732778,0.456000056,0.27140107,0.167367632,0.107645021,0.067776508,0.043645425,0.02435182,0.018042033,0.022437354,0.028602771,0.027940487,0.01935399,0.011069767,0.006042692,0.002216175,0.001158757,0.002075901,0.003142989,0.0046486,0.005866371,0.00727302,0.008069752,0.008210729
8,BOIS_PNWG_in,0.455899372,0.327658843,0.194172728,0.051654663,-0.070771282,-0.198949594,-0.283933939,-0.352425657,-0.401089517,-0.429639145,-0.419662437,-0.413150277,-0.401555771,-0.38063941,-0.351081112,-0.323328006,-0.292185231,-0.275676241,-0.253987479,-0.240887444,-0.232673543,-0.22649672,-0.228693412,-0.2371292
9,BOIS_PNWG_out,0.348763568,-0.261567423,-0.967793039,-1.687015651,-2.344100464,-3.014648512,-3.68125689,-4.332927939,-4.97183937,-5.574940997,-6.137122878,-6.663504486,-7.147082252,-7.585143413,-7.998162228,-8.372092209,-8.722689316,-9.044539141,-9.339602131,-9.611520387,-9.853453089,-10.0680477,-10.25881183,-10.43252429
