,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,61.92041884853262,107.00146300461877,140.88387521180434,141.23241399948006,163.22978406900916,182.22068595674722,192.23720323218328,186.16631093274583,182.22690774834086,197.70898957057736,174.5301488947998,179.02845477733553,198.4419099842495,344.43701847758433,317.38663732980785,322.0528710616754,341.6654037809084,322.07053022892046,311.3507490282989,297.38004400456714,283.87838696682485,251.3480224154273,267.52177103883116,289.46390798061725
1,SACR_SUNN_out,31.614285124635803,77.43472047566334,125.79244450820006,114.22791227085092,141.50164786162188,158.00018008493842,168.6627448133769,167.27289092431047,192.74766922506956,178.27255239488062,173.16837568860993,187.9010535783189,165.30048529112895,198.04720505633526,206.90391092551295,193.26142985791424,233.53789923985366,236.480389284096,275.68459312129164,273.5279863509715,274.6166217209997,288.777170440241,292.4279551805535,247.23327412022067
2,LOND_NEWY_in,2.6873776274715307e+21,1.9229861969556936e+21,2.3781364485899724e+21,3.19271719500617e+21,4.742405963493332e+21,5.389427159371662e+21,4.955773995168614e+21,4.380416944191771e+21,8.591819978632274e+21,1.0671109730209402e+22,1.0192203795661924e+22,1.1382774417940594e+22,1.2373772709456314e+22,9.301124779570567e+21,1.1395303521332264e+22,1.1999843173406068e+22,1.325019187953566e+22,1.6932351602673664e+22,9.755805048549147e+21,1.6634571989514484e+22,1.2250845652042004e+22,3.3091768327817558e+22,1.5599629278952888e+22,2.0893725941575476e+22
3,LOND_NEWY_out,4.626955581041959e+21,2.0382999147726603e+22,8.077989559932013e+21,2.9303548397371395e+22,3.5714483937728094e+22,3.8242851193839354e+22,4.077821794228469e+22,4.650259463409288e+22,2.5373160895200803e+22,2.356878007234638e+22,2.3705347004384233e+22,3.080855794794998e+22,3.1491924006203067e+22,2.719173608168601e+22,3.800778526234422e+22,6.4138161357850715e+22,1.3049007790933531e+22,4.282565036067741e+22,3.2833912216652247e+22,3.128045841134946e+22,3.1459184177020267e+22,3.760539822698262e+22,2.0294869782774493e+22,6.640353056295924e+22
4,JGI_SACR_in,63883.52719806256,46265.79553963424,60142.5105122654,56613.275182410885,62302.678728503764,54533.21538490298,61966.897989466066,55631.172523857436,59826.79069771315,57850.01024571193,53756.05773912848,53655.10220137613,52831.97722630259,50800.48870075216,53770.186024355266,55238.06861609848,53040.2358338688,57241.93534668639,62203.62519858503,55349.53445116086,62927.5926848264,57081.02431869336,62727.33394000933,56673.14227527738
5,JGI_SACR_out,310.29336048100936,708.688567709253,722.3388265403476,745.6349305745996,580.1669591995,979.8563810340892,959.036763729664,673.3138962886665,705.2918387392448,750.0903824562008,920.1457394275626,917.5265771048714,748.5128944739646,564.2783012941665,591.89563805474,804.4026098576118,952.0126604775786,804.176156395422,737.1875628711676,637.822101388918,853.9514911715145,912.2556177984775,875.8029789789477,792.2140368439723
6,HOUS_PANTEX_in,103.86131740297496,185.15460540838737,240.70189792287442,268.19655703948655,297.32554040777677,311.7565567309373,270.06994856381226,306.61787715123285,325.57293519293796,353.1266638613482,320.5118404932102,336.74123390977195,348.78893257159694,363.8040591131107,340.02938818396444,380.0969065245374,420.0722136748632,458.3729038025089,420.38969763671383,404.21624242308974,435.7454329160402,457.927215203472,470.80995770748467,480.66202872478567
7,HOUS_PANTEX_out,94.61999818266028,250.08304163786198,324.2603634242103,326.01176654457777,338.7095222103676,363.65623264045286,279.2226708233691,275.6508471336342,325.9958753232231,327.75576308161806,267.41366192866604,320.0140645687064,295.0090243905141,341.3961695943394,311.76742129363436,307.66935234546156,291.0178059684578,306.26924817737427,340.6935315657533,300.36385061510236,349.7649480762446,334.03690224938293,349.36583828760035,363.26166673230483
8,BOIS_PNWG_in,120.83219901384128,143.0351824568124,156.66906345723942,176.9683265126462,174.02089769051,189.80651785973095,187.47929593930849,187.75694529338247,192.04433834801782,203.88530950754682,185.28380403208692,183.58974443511025,184.21801576253554,186.69077968045852,179.84517311171805,183.83286298642633,183.7674906082392,176.48677684961467,170.89993225187305,175.01992479832782,185.59369639090374,175.26589753056282,176.88141079973678,174.80442252369488
9,BOIS_PNWG_out,1658.5279382250633,3894.0421971383944,2635.9113866044772,1457.1840538145552,2452.9528599470464,3313.0275878490806,5854.983164586423,5412.878675127127,13363.121201586813,5237.8445365492125,5404.503436283052,4224.0022242562245,3959.043831837249,4060.2404378283272,9748.84079408854,6110.571780597625,5396.804523724915,6719.877368131789,6471.532619842264,13663.445764036007,5671.335444856968,6802.1339230629,5495.738022064232,5547.868421347522
10,DENV_NREL_in,28.39844256000639,43.321666369680344,52.03873144664547,56.9713904866228,60.655763845448284,63.19017370546385,66.15484811113039,66.75698253206376,69.30254429348453,72.6348457414014,76.40791552172793,75.5324569836864,76.46253913808297,73.4734403108004,78.7230569894196,81.48926488202073,85.66992722725777,85.02907574147596,84.49130633694149,88.44823508523123,91.30465831160785,90.10524178269937,90.13582095725513,89.01130413776427
11,DENV_NREL_out,117.02986298041505,197.9523969495235,280.5445730862176,465.36317602466147,444.00922212109157,1298.1669639669753,1203.919555766206,1806.714448390898,1743.8805838314222,2024.8678079519161,1333.230748727471,2483.7614886019123,829.3150131612877,2620.902301399153,1507.6862881902903,6197.7181406565105,1673.0821428951283,1960.9277553256425,4736.472548307954,6093.711661338499,3323.300406327608,2421.6530905925215,1753.0290552139038,2640.94327245074
12,CHIC_WASH_in,775312825348430.2,977785346191376.9,1548740408352072.2,1419290976451883.2,721001552776609.9,575562036677414.6,426167869850315.2,392607779437285.25,656826368801566.6,1421287857281061.5,543598666606696.7,1044059410190294.6,1000130521420554.0,355457753519483.8,323565006023395.25,604258946051917.1,547234929233802.3,585261032152210.8,460719783238996.1,452744944608076.94,538191691584604.9,458055936680455.6,446456983920230.6,387551841648763.2
13,CHIC_WASH_out,578915238227586.9,645795155321386.4,716927547250355.4,955519753596512.9,517225474333310.0,861328627895574.4,890941169240579.2,638773317727076.6,1104423506581069.9,336487542652194.8,1015185155216783.5,936322894107797.5,527824979396155.3,784748363791300.4,368269665403279.3,955154896290602.2,399785590064355.7,686394148555750.0,692891552683848.2,663902683666022.5,890511845407353.9,1327262721526754.8,486744051334463.7,458040442577551.1
14,LLNL_SUNN_in,124.30142452470902,193.90264684401532,251.89163600003408,269.0241334096465,306.62457149815094,344.85469944666926,368.73157110800537,407.118608627057,483.4365500317686,476.7539823934935,521.3561877578295,505.70657420986356,535.6507339351958,517.3687750321736,559.0830579578608,542.3920258087663,554.7372022365823,587.2175305840728,635.3316098132335,577.3540271094089,565.3331604449772,568.3991147734998,590.7786987378051,594.7394715367759
