,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SACR_SUNN_in,0.493162970349625,0.3421312665146632,0.20986784201425124,0.19567411580107252,0.1691574023290947,0.018704074982433094,0.025858187271705635,-0.04917468745771347,-0.1051100361746109,-0.1386099303110091,-0.1419983974197856,-0.16429725612450818,-0.16953355799148695,-0.22520399642332545,-0.21639758749238558,-0.2007502289115426,-0.20630115028719787,-0.2037425683580001,-0.1865271870641272,-0.19268093777711548,-0.17260972318785983,-0.16248021430132353,-0.14556210004564085,-0.1582731505486885
1,SACR_SUNN_out,0.6167581482370326,0.478463825242881,0.3843092786241278,0.31045378710683513,0.20243359962407326,0.09730115854246746,0.07799587692062282,0.042936873165651535,-0.015356782237860855,-0.04177200660699576,-0.011805897271280896,-0.023221637068717937,-0.0842014425199411,-0.069267243570311,-0.06913025661703864,-0.07926019045458421,-0.12755493600466106,-0.14076904976892668,-0.15350560145606384,-0.139414927454087,-0.16372180521369373,-0.15103474213639068,-0.13623188607787484,-0.12609519392814672
2,LOND_NEWY_in,0.7148221758688764,0.4927913422344856,0.3082859860696139,0.14874382891251348,-0.0066284703422252456,-0.12251283410806701,-0.22736715849433264,-0.31531147198757203,-0.42801556412506203,-0.5403079682043701,-0.6088457355468893,-0.6440852987225949,-0.6805880962419337,-0.7447106239487333,-0.8314865131661104,-0.8793788432166714,-0.9252718178951258,-0.9566968546021872,-1.0393775342786702,-1.0783840208041005,-1.1480055709510348,-1.1732752013976273,-1.2385800564131486,-1.29317308812682
3,LOND_NEWY_out,0.49231377007805166,0.0934853674158801,-0.2664309016169524,-0.5559241483740163,-0.7611991371077156,-0.9420173281234581,-1.1019987467575358,-1.2170499558280725,-1.2900072798672464,-1.3533127906087237,-1.353081307957106,-1.3154745317120633,-1.383392961051309,-1.4711517536026162,-1.5415597678318256,-1.5387415993458622,-1.5016212671605933,-1.4428271896936309,-1.5157708662237104,-1.5762820116908034,-1.6266412818061453,-1.6259347712906345,-1.5940247487997112,-1.5924348418929783
4,JGI_SACR_in,-2.1916471021039725,-1.4869049326448147,-2.2070778721358044,-2.0038980753090216,-2.370000745621388,-1.7571955805742467,-2.3426918322149324,-1.8804848758781452,-2.1939526714975153,-1.8617723984257126,-1.708594098128029,-1.631951117751362,-1.464253582545373,-1.4259427876666044,-1.567574974393597,-1.7905590282088264,-1.5161836869353915,-1.6929706111224823,-1.8314103048951473,-1.6321745064747302,-2.0393837408104867,-1.8646517753641256,-2.0783121004570133,-1.6230345751669901
5,JGI_SACR_out,0.09060390945103647,-0.2223111878964863,-0.32549655510935627,-0.31335368813842557,-0.3132371758651844,-0.3243333723199535,-0.3443618719827646,-0.28441025499366246,-0.285395280788296,-0.28235572039597656,-0.3208788068922741,-0.33538911929594195,-0.38604892170228866,-0.34487531564041474,-0.3037188618820037,-0.3626632206885365,-0.3879069466377607,-0.2945961505975918,-0.2885316896011787,-0.30762267466925475,-0.32679043663133034,-0.2636808008632505,-0.29924288334274474,-0.28764389291692694
6,HOUS_PANTEX_in,0.19257584456945276,-0.7806971296524856,-1.5290850831803695,-2.096624946389035,-2.845629970430454,-3.4215266999044864,-3.72752344690923,-4.432816197091933,-4.797718441249405,-5.040599800813326,-5.296095238008738,-5.333198644616698,-5.795938811711539,-6.101614849330514,-5.93071997007135,-6.113589974263023,-6.3518319593194725,-6.557093170860588,-6.780289840654378,-6.925580213887624,-7.37048395401645,-7.345163727592283,-8.020257344051636,-8.264370702408991
7,HOUS_PANTEX_out,0.6089547086491375,0.2530136494809473,0.039275958434859426,-0.10517642588234333,-0.24441094246080897,-0.29163667208982,-0.33640041557583,-0.384841803283964,-0.4146941772203703,-0.4170581275876166,-0.42569868844792724,-0.4330310034123117,-0.47184440455015286,-0.49825323511975417,-0.5118705889273782,-0.5390737262969523,-0.5222333905173504,-0.5046271517533829,-0.5520092509360734,-0.5745367505603516,-0.5716496127983932,-0.5532515421634774,-0.5762282766415234,-0.547471045333465
8,BOIS_PNWG_in,0.20748496020931106,-0.1716395956795198,-0.49687548345472576,-0.7706465690958844,-0.8170968812235748,-0.9952429529641131,-1.066203646029921,-1.0550285181312433,-1.0603922178804788,-1.0606880952844904,-0.9812981029094165,-0.9907589174140579,-0.9440644232537188,-0.9593595373544352,-1.0285699841656446,-1.1018744959240436,-0.9533804153640268,-0.9801519139052355,-1.0431078999053036,-1.012512691636065,-1.02532627653685,-0.9929310996898502,-1.0414673267261354,-1.0913706324953676
9,BOIS_PNWG_out,-0.6728640473260685,-2.3548110067316634,-4.84600971431165,-6.7272247570532215,-8.503416813771658,-10.36628761789481,-12.441571318127773,-13.682509652937878,-15.237284409435393,-15.624212874329853,-15.060252596760158,-15.318267430670389,-14.90331127242896,-15.103911093447255,-14.787140088110677,-14.811648686857259,-15.46706005491874,-15.106141488598094,-14.780776010221018,-15.10322437458911,-15.116951070284983,-14.66496309265391,-14.612673174890014,-15.400501458189567
10,DENV_NREL_in,0.04382630490194772,-0.3725448304411616,-0.6550230186732828,-1.0431750859565119,-0.7128817246379346,-0.7464331305176586,-0.7645036926218352,-0.7707510696467683,-0.7863426653189833,-0.7899297356940147,-0.9385064163802332,-0.9528450726731026,-0.9369894383327602,-0.7866082347867063,-0.9149440716457118,-1.0136439991641608,-1.1754670851558071,-1.077406953546153,-1.0946182369457387,-1.1680347442254422,-1.1650321429471657,-1.1518705752867944,-1.1217941096501312,-1.0591625729510104
11,DENV_NREL_out,0.20913387324259247,-0.010439669636828075,-0.14153050041139115,-0.21900426686925578,-0.31449131563739896,-0.3587020317209666,-0.39672178436786787,-0.411496364927769,-0.4538586452385007,-0.4137692595438067,-0.49356754626118104,-0.4327059289863098,-0.4915600034422085,-0.46205768439699924,-0.5017939366460369,-0.5835552785802387,-0.5208490729179831,-0.5199067283875789,-0.43006383899802647,-0.5687247300756557,-0.5474091847867097,-0.8365552231100954,-0.7649747158950024,-0.676840435610045
12,CHIC_WASH_in,0.7172575540463901,0.470370728266451,0.27695400061177455,0.08022894708560269,-0.17867262544325868,-0.316155822504701,-0.5126832581679144,-0.651585217993484,-0.875751733692373,-1.0223409203923777,-1.3240282862336579,-1.4911526431917275,-1.7337891542629658,-1.9873003163304643,-2.2398967042742672,-2.604590563927868,-2.8409925117703025,-2.9916158786126896,-3.183789061250538,-3.3420603471338683,-3.5709500083762133,-3.772442385864405,-3.9251858612420456,-4.10739020131339
13,CHIC_WASH_out,0.6004370639855074,0.31303261100596347,0.08262693269698629,-0.12801972456340582,-0.36912114223410875,-0.6026416591898871,-0.8042879807158141,-1.0568731739160766,-1.278033581425345,-1.3921216263023348,-1.6024388075117648,-1.710444115904851,-1.7864658656630428,-1.9990743618263447,-2.15213301074908,-2.2392258824929017,-2.249586557438423,-2.45440726389311,-2.6224896611910675,-2.5415804854376205,-2.740147665317705,-2.99312015200605,-3.0699942334712853,-3.280358172267978
14,LLNL_SUNN_in,0.6498389179985917,0.17150883146960583,-0.2825507264191738,-0.7326243224612541,-1.0178783384219026,-1.3008746360969465,-1.511418689193802,-1.7092421564575169,-2.2592456417469715,-2.433328283245526,-2.5294704264021894,-2.652000102729935,-3.0860064227425346,-3.2003525806492563,-2.8732448949189417,-2.5845578406358616,-2.122876500614191,-2.0013119626569047,-2.0377873000625963,-1.864723528300034,-1.9071721267223514,-1.7983713582812002,-1.8275950058235724,-1.8141590236890162
15,LLNL_SUNN_out,0.2488555519259209,-0.17743253129820347,-0.21976239090384975,-0.30905648650565865,-0.368206296506739,-0.40223150012333786,-0.4431404040068778,-0.38730587393012206,-0.38832798292006476,-0.4362107581510115,-0.4160850710974069,-0.48374072342442864,-0.5423078103599919,-0.5276106177122308,-0.5392634025600136,-0.49721040572520403,-0.5138660800439578,-0.5323629611133804,-0.5392063910428522,-0.5683437771994362,-0.5412221746890458,-0.5575550633188839,-0.5115279966670541,-0.480710014710906
16,LSVN_SUNN_in,-0.022130234907912882,-0.2893452094009026,-0.6208616740285748,-0.5753398026138834,-0.7535817551970179,-0.8826218464762441,-0.9230355356664341,-0.9653300590644092,-0.853656494246199,-0.9657121713491859,-0.7623359773841503,-0.8721842866319063,-0.8602773130454546,-1.0545398016604661,-1.0893208978919593,-1.0165563094059165,-0.9963474396042307,-1.087743924675471,-1.015341844153692,-1.0649623695337183,-1.0634029341214548,-1.1622032722029347,-1.1559518143854937,-1.2951489156463598
17,LSVN_SUNN_out,-0.9264086484086764,-1.206829561153116,-1.2017201196124936,-1.0997357923208964,-1.1723922368497397,-1.1175986999886298,-1.1343313854998063,-1.3052926430473288,-1.30182183262629,-1.201892551396789,-1.2291628254152798,-1.2188409188421465,-1.2976343472750687,-1.259129599425723,-1.258917693752561,-1.2701134138016168,-1.1305023570057848,-1.2419105038571217,-1.2895331653460227,-1.322748978371294,-1.2518078916477817,-1.2417436548124208,-1.2529283422900055,-1.2556648425660275
18,CHIC_KANS_in,0.5481234839325027,0.21956232998905278,0.02545572121893347,-0.09706575954719687,-0.23240235660217845,-0.32717990847021916,-0.3890158549681919,-0.4570870988912714,-0.4665116476663762,-0.45703711276325065,-0.483835501170335,-0.5454189410114929,-0.5473815398571209,-0.5665002345246319,-0.5488542565737846,-0.5758575131798813,-0.5891661040611336,-0.5790265772578653,-0.5636228207735947,-0.5813654376922073,-0.5881139237094066,-0.5998722296783641,-0.5708220021732486,-0.5303968758029389
19,CHIC_KANS_out,0.7513430140967021,0.5727431138318434,0.4443169428773476,0.3306563707543041,0.267652673946117,0.20684068963276236,0.11505390646889813,0.03899495010697407,-0.06996726418033483,-0.07330584525858419,-0.1695212291915016,-0.19921818240689726,-0.18886183864216055,-0.27280076855690627,-0.24894356265503914,-0.27679971338460496,-0.30326980675367277,-0.3383654531369549,-0.3533601554217465,-0.37850746693883663,-0.36886255601106854,-0.36929327248631205,-0.3830595332948108,-0.3766482929272583
20,CHIC_STAR_in,0.6990281862808373,0.41775482077515846,0.215665033785978,0.08015808365331634,-0.01647060877193285,-0.11834233154909324,-0.15325026842958622,-0.20619931672409675,-0.242077301745389,-0.32370257192999885,-0.3519320012242737,-0.37215761350491894,-0.3668047102615677,-0.4453738724606715,-0.5085548702375211,-0.5013041099224242,-0.483607589629065,-0.49285344877087667,-0.4642739625901655,-0.5074984294574865,-0.48928091523050976,-0.4808506467704714,-0.5091967370904551,-0.500125147484358
21,CHIC_STAR_out,0.4497052593650015,0.22810392045113048,0.1026340383739609,-0.02647477774725271,-0.1635875245620939,-0.23248976167842383,-0.2793445020039318,-0.36654188955934885,-0.4438390434108841,-0.48902629656244656,-0.5462243929655486,-0.6625896687881416,-0.7245022045260816,-0.7474587689040268,-0.836624294686491,-0.8650617822741906,-0.9106551238775393,-0.9509680325554393,-0.9459212766296301,-0.9450973185549325,-1.0207693482554365,-1.071609354378991,-1.1349374692334764,-1.1805603390757171
22,DENV_LSVN_in,-0.7413553915431672,-0.9991275571362777,-1.072912942426632,-1.13290421502079,-1.1239107246290896,-1.0646373314996822,-0.9848781753274212,-1.1093483557159,-1.1256642094681388,-1.0819960399698743,-1.1015978634659733,-0.9595385098495681,-1.0003828609858227,-1.0747695331559028,-1.0869070216992691,-1.1159862515922159,-0.9439457841305348,-0.997295162261417,-1.0176350273988546,-1.1535986407018748,-1.0634023518599904,-1.1784574681764246,-0.9625461150573216,-1.0344636406947605
