sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ATLA_SRS_out,0.951835495,0.877204209,0.811166465,0.753418713,0.700950949,0.644937402,0.576416389,0.51034654,0.446315787,0.385366066,0.344908898,0.329781744,0.330081854,0.333946862,0.339911711,0.342680623,0.341330323,0.33743585,0.331915452,0.327115854,0.319312185,0.313132535,0.310488921,0.306823817
ALBQ_SNLA_out,0.933452071,0.859506091,0.784255057,0.709180469,0.638883065,0.576906208,0.52056781,0.470079631,0.425105751,0.383052931,0.349810346,0.324291051,0.308538492,0.305919602,0.316527842,0.337992737,0.363382921,0.386087907,0.399634356,0.406837668,0.409501717,0.408597672,0.403115392,0.387883274
ALBQ_DENV_out,0.901428071,0.822116024,0.749152434,0.694846868,0.631541718,0.586218845,0.547352173,0.516093823,0.487950208,0.458817593,0.422862662,0.398365876,0.37286513,0.359613375,0.347698643,0.347603067,0.341613485,0.343543033,0.340426063,0.340661772,0.337462951,0.331233774,0.323820731,0.318269729
ALBQ_DENV_in,0.872797997,0.720730273,0.559438389,0.403730713,0.275804381,0.185760211,0.107759357,0.054568582,0.019528491,-0.008259928,-0.01698459,-0.030698497,-0.050432986,-0.055448511,-0.04215693,-0.025755623,-0.013378355,-0.013608239,-0.004848315,0.00203974,0.000296883,-0.001765138,-0.01733834,-0.045942834
CERN-513_WASH_out,0.859760253,0.760722737,0.686466217,0.629365645,0.585649276,0.557277155,0.532011122,0.508216606,0.48672244,0.462945013,0.444733606,0.428995082,0.41383856,0.399029018,0.384551636,0.37207235,0.359284904,0.346747349,0.334045115,0.322300983,0.308556656,0.295576837,0.285037561,0.27534664
LLNL_SUNN_in,0.846292728,0.692369131,0.53029479,0.358876551,0.201725967,0.071921689,-0.042977019,-0.148158923,-0.236018471,-0.298626485,-0.34368141,-0.378709429,-0.421422895,-0.450640084,-0.478335543,-0.502831321,-0.526132699,-0.54392485,-0.565936777,-0.587940674,-0.621658606,-0.665815213,-0.72506839,-0.816050169
ATLA_ORNL_out,0.840288248,0.688560547,0.564415358,0.464847462,0.38336531,0.32489103,0.28564696,0.251400947,0.228229833,0.213199878,0.202019689,0.192455865,0.183087459,0.175086747,0.167172141,0.15775576,0.150053996,0.144269123,0.139485999,0.136428168,0.133323018,0.130452149,0.127507455,0.124408288
LOND_NEWY_in,0.836614919,0.695876813,0.602354248,0.541779791,0.492417959,0.457646399,0.427905801,0.408217613,0.387043859,0.365633849,0.354291198,0.344385824,0.330491813,0.317053113,0.301810264,0.288151985,0.269231482,0.250084164,0.229864571,0.203336056,0.178024857,0.147914295,0.125764092,0.106106498
DENV_SACR_out,0.82976404,0.691214486,0.592536657,0.520586113,0.435004842,0.364341974,0.305299215,0.266869291,0.215697919,0.173056077,0.133864589,0.106525573,0.062115261,0.029988825,0.007129496,-0.011922742,-0.045076728,-0.065579685,-0.0769004,-0.083007366,-0.10168706,-0.113001501,-0.123075003,-0.131862768
AOFA_WASH_in,0.822328527,0.691500391,0.623875943,0.572597938,0.519107182,0.470066136,0.427962741,0.386452307,0.339303227,0.294476696,0.248699562,0.203619804,0.156846535,0.115404788,0.073710843,0.030556413,-0.012032339,-0.052464726,-0.09694419,-0.14199292,-0.190759787,-0.235202848,-0.284272688,-0.335452214
