sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SACR_SUNN_in,0.720710274,0.519838126,0.431258412,0.377233975,0.33955593,0.302381908,0.253689577,0.222267468,0.19619877,0.184160551,0.154214802,0.110969093,0.072516956,0.043592427,0.019847299,0.006675114,-0.002261213,-0.009610023,-0.018806557,-0.030556643,-0.042415446,-0.049762009,-0.049022632,-0.049857701
SACR_SUNN_out,0.763514621,0.581221803,0.48843785,0.431486065,0.346979765,0.282176034,0.205231004,0.180363108,0.138640639,0.084389724,0.069401923,0.073626094,0.055484128,0.05053303,0.043534985,0.033351556,0.010847204,-0.001588606,-0.000295385,0.004158702,0.002315115,0.004370665,0.005737939,0.003975974
LOND_NEWY_in,0.771639472,0.444376834,0.110040333,-0.190473582,-0.451775198,-0.655618119,-0.815621082,-0.8979729,-0.933793981,-0.947194108,-0.923735877,-0.880419852,-0.852868016,-0.855988428,-0.892593979,-0.935358309,-0.981184423,-1.021464619,-1.080719148,-1.181786373,-1.279007342,-1.366350711,-1.390343356,-1.416369936
LOND_NEWY_out,0.743271273,0.560684364,0.346985292,0.145116446,-0.082406767,-0.331497729,-0.604617398,-0.832960707,-1.056428395,-1.233852424,-1.432165286,-1.621332275,-1.774066232,-1.910764589,-1.986228836,-2.032614862,-2.05128188,-2.048950509,-2.092302557,-2.094038158,-2.15005979,-2.144390067,-2.166541075,-2.167645877
JGI_SACR_in,-0.328679218,-0.359100261,-0.297081035,-0.324688165,-0.325972545,-0.308564516,-0.28768112,-0.249349332,-0.255377327,-0.237094854,-0.251797681,-0.229217157,-0.224196318,-0.229189906,-0.197080694,-0.174604234,-0.170424094,-0.194412566,-0.204748752,-0.187916842,-0.153928573,-0.167789686,-0.179694045,-0.173142719
JGI_SACR_out,0.288081599,0.081165035,0.042477119,0.031147706,0.004725485,0.019287471,0.012028526,-0.008831726,-0.024074599,-0.031946018,-0.022537711,-0.012440239,-0.008121265,0.003995986,0.017081163,0.0036906,-0.009221908,-0.014055549,-0.027402768,-0.03285482,-0.03408783,-0.030978376,-0.03425021,-0.045267658
HOUS_PANTEX_in,0.539300314,-0.155786028,-0.860251584,-1.233796775,-1.659858917,-2.210418902,-2.563618738,-2.865628221,-3.13511472,-3.339532974,-3.568896528,-3.818712143,-4.025944352,-4.221897149,-4.476918754,-4.719118221,-4.915735526,-4.964670203,-5.006802647,-5.114299931,-5.201249624,-5.12962931,-5.015988173,-4.917876331
HOUS_PANTEX_out,0.722484459,0.502733823,0.332600119,0.215950924,0.157255234,0.118789604,0.076182109,0.043799267,0.030230631,0.024622948,0.019760179,0.01377427,0.00860527,0.00777229,0.015459764,0.026203195,0.016417872,0.003913432,-0.020055643,-0.032505387,-0.046157351,-0.052547217,-0.062750302,-0.077238817
BOIS_PNWG_in,0.636019364,0.586415632,0.535264631,0.48291782,0.427426523,0.397140934,0.378251294,0.374852278,0.369442996,0.363590167,0.360489832,0.354604326,0.351137877,0.34918133,0.35291898,0.355088031,0.35617139,0.359408448,0.359213478,0.356108114,0.35133725,0.340421308,0.322045992,0.289705888
BOIS_PNWG_out,0.066553795,-1.132287705,-2.882124199,-5.519005274,-9.295384126,-13.20690256,-16.30339136,-18.14559053,-19.11736016,-18.89116192,-18.14888755,-17.5241986,-17.05274485,-16.05007906,-14.57234557,-12.28178483,-10.3405449,-9.211399773,-8.496857241,-8.064769522,-7.808888909,-7.671471239,-7.557120863,-7.445300128
DENV_NREL_in,0.54980268,0.272369777,0.118585312,-0.085524918,-0.209488577,-0.255331403,-0.333920287,-0.415947364,-0.486306747,-0.574094533,-0.661915049,-0.740696611,-0.85907305,-0.943205011,-1.041511477,-1.101354037,-1.112062638,-1.125215545,-1.166942368,-1.171189124,-0.987998647,-0.854351551,-0.788064729,-0.716265633
DENV_NREL_out,0.221436045,0.176896652,0.144574846,0.097497306,0.035636675,0.005711955,-0.030962074,-0.061893319,-0.118088222,-0.17837645,-0.136483436,-0.107711295,-0.134291704,-0.633923062,-3.60513048,-0.206613084,-0.071244497,-0.173815125,-1.329514305,-8.225514507,-13.18208561,-6.136078579,-0.095462867,-0.097190598
CHIC_WASH_in,0.756523043,0.479446527,0.202371474,-0.115767838,-0.445722955,-0.776737815,-1.100478879,-1.432299293,-1.7856901,-2.142354569,-2.502852991,-2.859206721,-3.236907256,-3.619689947,-4.022536565,-4.44092909,-4.878169789,-5.34775967,-5.839854157,-6.306170318,-6.823517919,-7.386242105,-8.009947784,-8.682020078
CHIC_WASH_out,0.754640305,0.602884032,0.513687836,0.451514044,0.388184408,0.326083576,0.268437998,0.20414978,0.149570921,0.102099215,0.051276884,0.005549766,-0.040765315,-0.079460811,-0.116075122,-0.156787539,-0.199255342,-0.245194904,-0.290198957,-0.338066094,-0.396246332,-0.447875407,-0.507604143,-0.572509143
LLNL_SUNN_in,0.820162885,0.619254871,0.403313928,0.15509359,-0.113166687,-0.364692469,-0.555756969,-0.647078826,-0.666471051,-0.644179115,-0.605162007,-0.5662852,-0.561617821,-0.620116307,-0.708797907,-0.803592983,-0.874712222,-0.90192056,-0.826879185,-0.697516185,-0.545106198,-0.377518165,-0.236141611,-0.139163389
LLNL_SUNN_out,0.443350943,0.182788844,0.143224933,0.152935529,0.150864415,0.143192999,0.110017982,0.082994027,0.081160954,0.07767787,0.071874914,0.070930052,0.085357658,0.111016079,0.132123681,0.145310012,0.149673799,0.152600245,0.153584358,0.157645601,0.16168286,0.16220834,0.170140592,0.154007309
LSVN_SUNN_in,0.44777714,0.328777802,0.239413716,0.206098118,0.172291248,0.145579843,0.111960173,0.116528347,0.129279892,0.131788237,0.1255322,0.116372348,0.113833668,0.123247532,0.137520558,0.145092793,0.14045048,0.132579036,0.115547518,0.105589297,0.093909921,0.069455545,0.051028834,0.030467032
LSVN_SUNN_out,-0.201145034,-0.193244742,-0.200882125,-0.19499003,-0.189109439,-0.162863458,-0.179080718,-0.18571979,-0.182182235,-0.166193595,-0.172300353,-0.175176382,-0.194864528,-0.18690112,-0.197724872,-0.186525985,-0.193283747,-0.176759389,-0.19901705,-0.238043267,-0.209106026,-0.211383715,-0.242515827,-0.236883995
CHIC_KANS_in,0.677981601,0.47149185,0.350054242,0.267639692,0.170767561,0.084587421,0.008866597,-0.052382604,-0.126264677,-0.186653653,-0.227089585,-0.260665496,-0.310570766,-0.334135651,-0.337890113,-0.328869131,-0.343958045,-0.344900384,-0.338275245,-0.317620208,-0.318063902,-0.323723658,-0.326224728,-0.336571621
CHIC_KANS_out,0.787152398,0.637740004,0.526691459,0.430838359,0.31785684,0.21441585,0.111315009,0.014635182,-0.09894876,-0.200877334,-0.273612249,-0.314477109,-0.351143372,-0.365508468,-0.367177705,-0.350015101,-0.337356971,-0.315564617,-0.282554696,-0.217341981,-0.17570901,-0.136457965,-0.122248158,-0.093750842
CHIC_STAR_in,0.745809965,0.508300354,0.339570769,0.211180453,0.114235314,0.053215935,0.02570637,0.016684584,0.002388739,-0.014687327,-0.020340891,-0.020586125,-0.033738146,-0.04680435,-0.047409242,-0.046245961,-0.043642325,-0.047955353,-0.046287389,-0.046031903,-0.044656966,-0.046758039,-0.051501783,-0.058428025
CHIC_STAR_out,0.586973569,0.417256224,0.300518144,0.216263975,0.104386199,0.024157353,-0.034573832,-0.080873893,-0.174810459,-0.260596011,-0.33359542,-0.390205396,-0.474626407,-0.536514312,-0.581193932,-0.626646674,-0.685127496,-0.741190348,-0.795487482,-0.832760908,-0.921195898,-1.006942713,-1.078277403,-1.150654903
DENV_LSVN_in,-0.065732217,-0.087691889,-0.121994736,-0.116931028,-0.101909305,-0.119768183,-0.153779363,-0.167439868,-0.172493361,-0.192943672,-0.190411568,-0.209740454,-0.234281772,-0.260337448,-0.280339405,-0.320468092,-0.319289127,-0.355948904,-0.386661621,-0.406097728,-0.412404453,-0.439460212,-0.474582766,-0.543849244
DENV_LSVN_out,0.463481491,0.328880315,0.236333368,0.146626792,0.123802503,0.08834578,0.075864347,0.059539314,0.061617638,0.05995598,0.051901895,0.030686087,-0.003913278,-0.042723153,-0.083348097,-0.123150711,-0.138587453,-0.151988293,-0.14999422,-0.11221582,-0.071670394,-0.042501736,-0.025409921,-0.012962759
PPPL_WASH_in,0.511619388,0.181325299,0.005612129,-0.110594553,-0.161118958,-0.177213966,-0.222002449,-0.255108276,-0.283062669,-0.310047229,-0.353366796,-0.409536454,-0.467901615,-0.526163383,-0.582723932,-0.632389008,-0.675292217,-0.720546888,-0.755398666,-0.777383003,-0.795686209,-0.881420723,-0.984790806,-1.145613989
PPPL_WASH_out,0.02567413,-0.076996159,-0.059320589,-0.051956746,-0.05410178,-0.054633425,-0.044176377,-0.040503453,-0.040453364,-0.03772013,-0.035687597,-0.037206483,-0.033665415,-0.031312545,-0.027519942,-0.031182779,-0.027710842,-0.025569713,-0.027434299,-0.026184242,-0.035890918,-0.038046915,-0.041343772,-0.040038076
HOUS_NASH_in,0.561597955,0.38507819,0.24346579,0.141318057,0.05642225,-0.004399535,-0.058620429,-0.100871945,-0.123840027,-0.140136376,-0.148548764,-0.152183005,-0.153853989,-0.142539495,-0.138196524,-0.134073728,-0.129087653,-0.118735807,-0.115229315,-0.117860174,-0.124861416,-0.126730329,-0.124770763,-0.133949736
HOUS_NASH_out,0.645117277,0.166066391,-0.940170964,-2.487406163,-3.120194626,-3.763256073,-5.744736379,-8.978531284,-9.740304389,-7.29650116,-6.095352465,-5.23928513,-4.835984323,-3.158510192,-1.933702647,-0.894411715,-0.15751614,-0.23015744,-0.754214684,-1.119044379,-1.062702212,-0.37987879,-0.106093905,-0.069716763
ALBQ_SNLA_in,0.700405533,0.286007611,0.219640322,0.240092723,0.197406552,0.157057088,0.115390937,0.056932216,0.004016699,-0.03326447,-0.057354871,-0.111524765,-0.184240469,-0.266203918,-0.349576968,-0.405044013,-0.430689552,-0.442731815,-0.430084164,-0.416741991,-0.388571686,-0.366251968,-0.364878321,-0.40754426
ALBQ_SNLA_out,-2.142994748,-2.140700797,-2.138554437,-2.13690183,-2.13394086,-2.131585612,-2.129220672,-2.124657882,-2.120200931,-2.115790579,-2.111349356,-2.10704501,-2.103378768,-2.099854448,-2.096162529,-2.092272632,-2.088245216,-2.084309431,-2.080170722,-2.075846693,-2.071840012,-2.067784771,-2.063464332,-2.059167062
EASH_WASH_in,-4.659856127,-4.659099149,-4.659116616,-4.663612402,-4.666042288,-4.668302155,-4.673487289,-4.676488428,-4.679034177,-4.67898976,-4.678824149,-4.676980723,-4.675464502,-4.674554553,-4.675094836,-4.674440838,-4.672949621,-4.674196935,-4.677635493,-4.677437462,-4.677206787,-4.674460494,-4.672017945,-4.669080132
EASH_WASH_out,0.583215467,0.201111572,-0.084799838,-0.332408637,-0.511648406,-0.683705695,-0.827398481,-0.965781853,-1.152797928,-1.317094644,-1.480371686,-1.584980521,-1.698895655,-1.811070531,-1.902231556,-2.029892882,-2.211420426,-2.342418873,-2.503833063,-2.597230159,-2.673775506,-2.737546557,-2.811231126,-2.867258451
SLAC_SUNN_in,-0.50340392,-0.474381458,-0.418118332,-0.400446359,-0.396914704,-0.410169497,-0.447745779,-0.492302348,-0.528343724,-0.593609911,-0.611587012,-0.622150705,-0.692064088,-0.744744486,-0.77009005,-0.842447339,-0.91218494,-0.999744961,-1.029684798,-1.104026047,-1.123388162,-1.189745249,-1.292565381,-1.348476737
