sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SACR_SUNN_in,0.768260142,0.589485731,0.48794747,0.428333424,0.342527464,0.290049272,0.238585263,0.210293186,0.160720917,0.139906594,0.118342495,0.104576421,0.063646325,0.04938273,0.03714035,0.038070863,0.017140826,0.007487606,-0.00540152,-0.00886522,-0.027118832,-0.033801009,-0.038164846,-0.041364325
SACR_SUNN_out,0.706769083,0.489594842,0.376605955,0.299016168,0.187116007,0.129159032,0.094894747,0.088646705,0.056422409,0.048727996,0.021952598,0.004443708,-0.024099455,-0.024926522,-0.029286252,-0.038877244,-0.076409558,-0.080778264,-0.075277731,-0.0631517,-0.09790327,-0.102923826,-0.080768904,-0.055192167
LOND_NEWY_in,0.846335949,0.71555042,0.625660431,0.566566506,0.517280179,0.483062661,0.453020873,0.431668255,0.411581558,0.392002728,0.379541048,0.374629312,0.368268242,0.364090646,0.357460693,0.349708115,0.335322219,0.318294246,0.29852755,0.268857847,0.233823016,0.200794345,0.172884314,0.140103688
LOND_NEWY_out,0.812233712,0.696798312,0.601108162,0.519557595,0.436778903,0.354319393,0.277850162,0.192876417,0.113183343,0.044806444,-0.036215988,-0.119252152,-0.198882535,-0.275737959,-0.331080547,-0.33806757,-0.316727819,-0.282230837,-0.272089877,-0.23864468,-0.21641296,-0.179823298,-0.13682737,-0.105760071
JGI_SACR_in,-0.007977892,-0.006536906,-0.003392756,-0.004452786,-0.004747342,-0.005257853,-0.004864748,-0.002916318,-0.010000206,-0.014797564,-0.015587218,-0.018186182,-0.019390604,-0.02159548,-0.02230267,-0.020867385,-0.025908798,-0.031618845,-0.038817006,-0.041430371,-0.047014736,-0.046383695,-0.053927721,-0.054296148
JGI_SACR_out,0.351242968,0.169377165,0.126841611,0.132850744,0.130144251,0.121949895,0.11082489,0.097264997,0.083101606,0.069013992,0.068992663,0.066107586,0.060108559,0.063736829,0.067344472,0.065680411,0.057601472,0.055147915,0.049002097,0.051949438,0.052520003,0.057358727,0.060570708,0.05777019
HOUS_PANTEX_in,0.587737868,0.065774805,-0.527258775,-1.120557549,-1.70780833,-2.338351745,-3.039229114,-3.864739833,-4.744985835,-5.648405004,-6.578556747,-7.528579075,-8.449726257,-9.325110526,-10.23112895,-11.16487123,-12.09495301,-13.03057114,-14.00437867,-15.06817269,-16.05685635,-17.00751604,-17.82856603,-18.58962029
HOUS_PANTEX_out,0.74249313,0.511210464,0.352537991,0.262651775,0.201368391,0.154931716,0.115380704,0.085116159,0.063544758,0.042882528,0.032745894,0.033531014,0.033143305,0.016666278,0.003728429,-0.010468684,-0.022251803,-0.035201814,-0.044672605,-0.052092451,-0.056182948,-0.060133791,-0.064313541,-0.06618122
BOIS_PNWG_in,0.572437338,0.489916645,0.417877984,0.354171223,0.307423637,0.267870887,0.249845915,0.236003261,0.231401378,0.232833036,0.237284929,0.234970976,0.233349965,0.231810142,0.231209613,0.229521605,0.227986551,0.222943753,0.222301831,0.219490439,0.222058185,0.224053081,0.209881515,0.174698321
BOIS_PNWG_out,-0.147279567,-1.247614781,-2.130201012,-2.818852837,-3.429576093,-4.07962123,-4.717220764,-5.165027814,-5.602057412,-5.886767808,-6.208976471,-6.63389775,-6.861294838,-7.026953499,-7.292904823,-7.473187512,-7.589162726,-7.672031444,-7.827288703,-7.99351946,-8.189900888,-8.199795492,-8.274677529,-8.413324795
DENV_NREL_in,0.444243449,0.194851005,0.136365459,0.08834486,0.056321873,0.037246716,0.038385497,0.044771945,0.056620125,0.051053313,0.044162258,0.03580462,0.032617644,0.0253931,0.020492607,0.020849743,0.022697096,0.021486449,0.020138563,0.020036898,0.02573117,0.030972853,0.031559427,0.026739922
DENV_NREL_out,0.431613237,0.26977934,0.212531006,0.159984012,0.124172215,0.09012699,0.067657801,0.050020615,0.043311812,0.042915843,0.043935166,0.0446742,0.047777804,0.051357233,0.055111075,0.058422411,0.062767591,0.065531998,0.068651057,0.069685804,0.068922073,0.067875746,0.067573363,0.069089004
CHIC_WASH_in,0.826126858,0.708885565,0.629557234,0.55293386,0.483785195,0.423271897,0.373615896,0.325692871,0.270491008,0.221595924,0.174745363,0.131542855,0.086260606,0.044181151,0.004343627,-0.031105102,-0.067948164,-0.104443527,-0.137179966,-0.162116975,-0.195505983,-0.224360438,-0.251655166,-0.274201741
CHIC_WASH_out,0.761578543,0.619327601,0.53105001,0.461897774,0.390548437,0.325215881,0.260520359,0.190882105,0.124067791,0.063325415,0.001833392,-0.055479056,-0.114310624,-0.160485186,-0.20115984,-0.24273839,-0.289131718,-0.334072375,-0.379424844,-0.423300443,-0.480516743,-0.53179273,-0.585978661,-0.643115884
LLNL_SUNN_in,0.84002906,0.674757828,0.50340874,0.328020764,0.166172249,0.033740014,-0.073002975,-0.159412506,-0.22033606,-0.238736226,-0.236560965,-0.221770502,-0.216070413,-0.186761967,-0.15841353,-0.128451719,-0.105907899,-0.086408599,-0.085431309,-0.084764893,-0.092563029,-0.105965176,-0.134413337,-0.190402432
LLNL_SUNN_out,0.44721221,0.203639943,0.181709066,0.172991988,0.1545365,0.134043248,0.106111955,0.087083017,0.081497317,0.081629402,0.081440291,0.082179549,0.091167907,0.101586298,0.107026473,0.110893873,0.115684053,0.118466807,0.117963999,0.116427832,0.120223655,0.12686048,0.129999474,0.121704888
LSVN_SUNN_in,0.412909735,0.302068862,0.231873013,0.183615891,0.148365506,0.122786359,0.091659184,0.080307264,0.081960298,0.081186827,0.082399805,0.081509467,0.080369327,0.080619265,0.080076993,0.080929362,0.079548739,0.076898584,0.074067802,0.071672644,0.068913008,0.065184541,0.060866691,0.049122667
LSVN_SUNN_out,-0.134352425,-0.092222711,-0.066924495,-0.061154074,-0.062674987,-0.064423898,-0.075042149,-0.081161269,-0.082809714,-0.084485487,-0.089996993,-0.084196128,-0.09014491,-0.085896768,-0.079326819,-0.08286505,-0.090208774,-0.095941179,-0.111694756,-0.117991271,-0.121434607,-0.129342052,-0.143759335,-0.156117645
