Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
31/12/2018 07:00,1010956098,1789711104,14797880.92,15612656.61,4187572504,13506275435,66393478.39,4450083.303,688768702,4292629508,16291678120,10679551002,3510766969,1206407432,6246499275,15748825167,30702100602,4730377912,7038175858,11744991315,12804972940,21121186619,4522.044444,4121.293333,4954329860,7491115997,15825442220,21218549832,15354030308,10275708897,7009862306,29644269651,7465911243,19002930880
31/12/2018 08:00,2138284916,3385905948,122760222.6,31346882.83,3919595331,13714394099,64384281.73,4332952.393,942963493.7,4416917965,18197633739,11566105157,3827853150,1175870906,7965160708,22682077527,27754671018,9577795994,7783736822,9954738682,11899204276,25850721624,4508.106667,4130.337778,4744394602,7422366164,9892543181,24468358371,11426023919,13947452105,8678237097,27746820369,5669831540,22136012289
31/12/2018 09:00,1399041771,879392215.1,13863694.56,5525975.058,4009678062,10015419750,65282838.78,45453596.35,602377981.4,2836707906,11831913197,10425400717,2281760394,1038230088,8195231936,11891209292,21044400685,8283067318,8132545170,12861664743,12309941753,23980651817,4502.764444,4116.031111,4643798517,10524562232,15800703357,18636287222,12778849740,13559056644,8840526824,23396374608,5057194399,24053098984
31/12/2018 10:00,1198605108,1244035030,10182280.29,46355483,4210085809,9982491284,130866632.9,58611242.4,664603970.2,2545332223,11737253776,10634711520,1925021868,944418515.4,9537275616,9886611768,25265333644,6070797629,7662503389,10620075779,11705028101,24675834304,4513.715556,4132.551111,3979890859,9160424891,14475607487,12011855294,14448304711,11004787277,10304284054,23292009363,5179090619,20801941901
31/12/2018 11:00,1295070159,879296274.5,14275502.77,5661303.546,4904741157,17775199564,67908147.26,58313668.14,953635706.1,3484505325,19537231051,12892207402,2604705492,1027725864,7039858282,9167844702,16944123426,7073943002,8345618897,11601655077,14259923477,22273144917,4512.124444,4122.528889,3908760963,8818633889,12168112638,16687296732,11628586512,11300598311,14091739240,26887584863,7932094997,16892757419
31/12/2018 12:00,3020250786,665957700.7,13773367.6,7909420.468,4466802986,16604807116,67542364.42,4249943.097,576373766.7,7005317366,18279502641,14031209658,6449297270,1099725047,8666597214,5246294595,21359788257,9440372660,8124387154,9578176092,14306758515,18289785979,4484.915556,4132.568889,3841379536,8271879503,16831591031,12625743446,10282521989,15966974761,10040486276,26927108024,6740233998,16601633995
31/12/2018 13:00,1048957483,844331836.4,85599624.17,8704440.633,3966128359,16605741092,110382068.5,22450913.02,742653999.9,6952850751,18851278481,11232594828,6514876857,1292606494,8090542735,2711272069,24796363333,5761018805,10495275699,9521197755,11512652796,22347726522,4510.062222,4129.853333,3657435449,11817627548,10227924206,11863954575,12392901529,13092870128,14634791027,25872384106,8023133122,18073563217
31/12/2018 14:00,995490708.4,670375496.1,17557164.8,99390577.04,3558792928,18398978653,73359213.35,12652175.01,993406551.8,5844670778,19356147336,10603765416,5647218409,1465244427,10231482686,10853542033,26085667386,8125746458,8421168648,9861674679,9350646109,15561697903,4517.831111,4129.955556,3791694796,5011821476,19430572574,20454847365,11332601605,15162702448,9462110918,29429940233,7673996394,14012043679
31/12/2018 15:00,1472279984,1627100557,15453452.69,10937575.81,4684319479,14888476320,81789250.33,15328021.3,1573226517,3765829225,17155329427,11998647182,3454850880,1964831829,9826172953,4273516159,18598544227,8232443662,8128403628,10805516102,13200732732,17987460558,4517.68,4117.684444,3736850221,5890935641,13227328170,17501898206,11142344067,13060653949,8260478157,23813825385,11359795774,18821966050
31/12/2018 16:00,1582596779,1583310298,17784003.29,20959909.4,3910914131,13446349311,111730294.5,41154327.7,742529252.8,2806421929,16198314320,11460192163,2329733514,1081191519,6324927652,3585458376,14871186371,10219500325,6528949112,8927801107,10809605549,18106117105,4502.942222,4127.808889,2820263285,6296549423,11528522323,8421592821,8938794433,13818249266,8866934984,20279134927,5845322046,15393445335
31/12/2018 17:00,2314475862,1983278981,22449097.33,22319586.61,3369527452,13783822150,140756076.6,17132684.42,961465598.8,3135505634,16958731250,11686538274,2578504603,1354628278,5679042859,2949874699,14787231009,5629622343,5996504725,8650146368,10396636830,18964588839,4523.217778,4119.142222,3023123167,7981627633,7613115052,5610700711,9055342909,10958062648,7146524584,21041756047,5584449495,22358785672
31/12/2018 18:00,1575687419,1101929048,63876014.13,58502458.67,4150726716,13092171304,96600270.53,17601012.45,994888998.6,3119375199,14685785229,11938377039,2483417167,1363218346,6324053485,2408080216,13259619846,3006019190,6423262122,8883798036,12952734384,14444104795,4485.928889,4121.351111,3028528525,5322295969,7724869492,4506576820,8074375958,8929207177,7296148775,20178852302,8646297843,13307479162
31/12/2018 19:00,1348304388,1921906862,25418434.28,16825585.71,4414249849,13933449941,91641978.58,68919530.65,662860232.7,3204650893,16679249773,12059201695,2729823888,1066037841,5488231532,1320198363,15977396269,10707071649,7734268584,8889612030,11474589101,14366153216,4514.791111,4123.026667,7770454116,5377268927,7001132408,3043833239,8611392589,14840845633,12230382896,23750373142,9677033876,18572552700
31/12/2018 20:00,1698294268,3372482113,37640876.87,19823270.25,4092648719,13329312623,85540244.84,28129631.81,865995325.9,5662667535,17173903300,12050745686,5194486710,1148084625,3814070347,485633918.3,16629117998,9458982579,9861545202,9204435716,13007932136,16203911724,4512.693333,4116.768889,2987136837,9507553204,4696541480,3126194895,11343672290,10644431266,10911227841,28411585061,10523052566,17465533532
31/12/2018 21:00,1532925129,2762182519,20131894.77,15988902.67,5370918846,13988019237,107203608.2,9808419.801,762575068.3,4743066644,17355068056,13191069728,4294200832,1178335295,4379977681,628107342.3,17937209080,11352413806,8295859210,10562510288,13699735603,19157222371,4514.506667,4117.613333,2571413144,10795950302,6978935152,2040256112,12552667564,12999119550,10562437094,27924720658,12237884915,18845097729
31/12/2018 22:00,1550414181,1092177984,20379540.96,11188798.53,8079103398,12995621035,79356305.99,9789703.879,800789340.8,3768044237,14856266187,15785450601,3544538862,1292891455,4553282872,717708452.1,13664641768,14162855488,8097435453,11304029131,12604857522,16054229718,4497.484444,4124,2785355888,10546946313,5496874995,2118649549,10253864428,14291726508,11089184349,24870141645,12134641625,22713692448
31/12/2018 23:00,1640815449,1175531282,29737226.54,69891074.07,7943062823,12451791379,166847781.4,113133742.2,900602011.2,4234892895,14110397722,15621499245,3996651663,1214581242,863075578.5,4352895483,12328211486,7364514734,6552174372,9049842496,11350637504,15402863537,4526.488889,4130.737778,2769220811,6347778097,1647130200,5887198188,9041813375,10387273029,6201947913,21759540194,11458024329,17905967173
01/01/2019 00:00,1479351566,1335242349,20548520.22,10273791.45,6160240791,11087190394,166861861.7,128276163.1,751207864.4,4315978337,13888031872,13930807864,4248513404,1217059517,957635361.7,548601379.3,12805104950,11027362884,6988010791,7593604201,9166354089,15448531471,4503.466667,4120.519774,2851612908,8767860968,2355694931,2197460478,9147164179,10960365062,8852054688,21613334730,8303267395,20967403794
